indType,namCategory,namCity,idtCity,namDistrict,namState,namStreet,namSubCategory,Area,Total_area,Bedrooms,Bathrooms,Garages,totalGarages,totalRooms,valSales,idtProperty
SL,Casas,São Carlos,1,Jardim Beatriz,São Paulo,Rua Batista Laura Ricetti,Padrão,178.35,255.0,3.0,3.0,2.0,2.0,5.0,373000,66512
S,Casas,São Carlos,1,Vila Izabel,São Paulo,Rua José Corusse Carminé,Padrão,28.0,210.0,1.0,1.0,6.0,6.0,1.0,140000,66508
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,AV. OTTO WERNER ROSEL,Condomínio,52.0,100.0,2.0,2.0,2.0,2.0,3.0,270000,66491
S,Casas,São Carlos,1,SANTA FELICIA,São Paulo,Rua Domingos Diegues,Padrão,125.0,150.0,2.0,1.0,2.0,2.0,2.0,320000,66485
S,Casas,São Carlos,1,Centro,São Paulo,Rua Conde do Pinhal,Padrão,255.87,522.5,3.0,2.0,2.0,2.0,4.0,1100000,66483
S,Casas,São Carlos,1,Jardim Bandeirantes,São Paulo,RUA ABRAHÃO JOÃO,Padrão,115.0,170.0,2.0,2.0,2.0,2.0,3.0,370000,66480
S,Casas,São Carlos,1,Parque Tecnológico Damha,São Paulo,RUA MIGUEL DAMHA,Condomínio,510.0,1115.0,4.0,6.0,6.0,6.0,8.0,4500000,66476
S,Casas,São Carlos,1,NSA APARECIDA,São Paulo,AV. LUIZ INÁCIO DA SILVA,Padrão,99.0,150.0,2.0,2.0,2.0,2.0,3.0,330000,66449
S,Casas,São Carlos,1,Residencial Samambaia,São Paulo,Av. AVENIDA PEDRO MUSZKAT,Condomínio,245.0,250.0,3.0,2.0,2.0,2.0,4.0,1090000,66448
S,Casas,São Carlos,1,Jardim Santa Júlia,São Paulo,Rua DIRCEU VIDAL,Padrão,80.0,187.5,3.0,2.0,2.0,2.0,4.0,560000,66447
S,Casas,São Carlos,1,SANTA FELICIA,São Paulo,AV. BRUNO RUGGIERO FILHO,Padrão,125.05,69.08,2.0,1.0,1.0,1.0,2.0,360000,66445
S,Casas,São Carlos,1,Parque Delta,São Paulo,Rua Octávio Boro,Sobrado,190.0,150.0,3.0,2.0,2.0,2.0,4.0,520000,66435
S,Casas,São Carlos,1,Jardim Tangará,São Paulo,Rua Pedro Monteleone,Padrão,149.43,138.0,3.0,2.0,2.0,2.0,4.0,350000,66429
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,AV. OTTO WERNER ROSEL,Condomínio,135.0,143.0,3.0,2.0,2.0,2.0,3.0,426000,66428
S,Casas,São Carlos,1,Parque Industrial,São Paulo,RUA EUGÊNIO GALUCCI,Padrão,18.0,300.0,2.0,2.0,2.0,2.0,3.0,525000,66423
S,Casas,São Carlos,1,Cidade Aracy,São Paulo,Rua Pedro de Paula,Padrão,92.0,125.0,2.0,1.0,2.0,2.0,2.0,185000,66422
S,Casas,São Carlos,1,Jardim Social Belvedere,São Paulo,RUA AURÉLIO SANCHEZ,Padrão,120.0,138.0,2.0,1.0,2.0,2.0,2.0,185000,66414
S,Casas,São Carlos,1,Jardim Cardinalli,São Paulo,Rua Pastor Cyrus Basset Dawsey,Condomínio,60.0,103.0,2.0,1.0,2.0,2.0,2.0,300000,66413
S,Casas,São Carlos,1,Cidade Aracy,São Paulo,Rua Hilário Martins Dias,Padrão,85.0,125.0,2.0,1.0,1.0,1.0,2.0,149000,66408
S,Casas,São Carlos,1,Jardim Nova Santa Paula,São Paulo,AV. LIBERDADE,Padrão,176.0,300.0,3.0,2.0,2.0,2.0,4.0,595000,66399
S,Casas,São Carlos,1,Condomínio Residencial Quebec,São Paulo,Avenida Professora Maria de Cresci Leopoldino,Condomínio,270.0,600.0,3.0,5.0,4.0,4.0,6.0,1600000,66395
S,Casas,São Carlos,1,Condomínio Residencial Quebec,São Paulo,Avenida Professora Maria de Cresci Leopoldino,Condomínio,255.0,330.0,3.0,4.0,2.0,2.0,4.0,1400000,66389
S,Casas,São Carlos,1,Jardim Brasil,São Paulo,RUA TOTÓ LEITE,Padrão,120.0,270.0,2.0,1.0,2.0,2.0,2.0,540000,66383
S,Casas,São Carlos,1,Jardim Brasil,São Paulo,RUA TOTÓ LEITE,Padrão,111.2,200.0,2.0,1.0,3.0,3.0,2.0,460000,66382
S,Casas,São Carlos,1,Jardim Brasil,São Paulo,RUA TOTÓ LEITE,Padrão,108.78,396.0,3.0,1.0,2.0,2.0,3.0,800000,66381
S,Casas,São Carlos,1,Cidade Aracy,São Paulo,RUA ANÉSIO SILVA,Padrão,250.0,250.0,2.0,2.0,2.0,2.0,3.0,250000,66380
S,Casas,São Carlos,1,Centro,São Paulo,Rua Dona Eliza Botelho Maria Barros,Padrão,160.0,220.0,3.0,2.0,2.0,2.0,4.0,540000,66364
S,Casas,São Carlos,1,Cidade Aracy,São Paulo,Rua Carlos Paschoalino,Padrão,64.68,125.0,2.0,1.0,2.0,2.0,2.0,190000,66347
S,Casas,São Carlos,1,JARDIM REAL,São Paulo,Rua Pascoal Mecca,Padrão,168.0,250.0,4.0,2.0,2.0,2.0,5.0,290000,66341
S,Casas,São Carlos,1,Jardim Macarengo,São Paulo,Rua Doutor Orlando Damiano,Padrão,83.6,258.0,2.0,1.0,2.0,2.0,2.0,500000,66336
S,Casas,São Carlos,1,Vila Costa do Sol,São Paulo,RUA DONA ALEXANDRINA,Padrão,60.75,60.75,1.0,1.0,1.0,1.0,1.0,150000,66332
S,Casas,São Carlos,1,Planalto Paraíso,São Paulo,Rua Noêmia Sampaio de Souza,Condomínio,200.97,338.0,4.0,3.0,2.0,2.0,5.0,750000,66328
SL,Casas,São Carlos,1,Jardim Jóckei Club A,São Paulo,Rua Ray Wesley Herrick,Condomínio,194.0,323.0,3.0,3.0,4.0,4.0,4.0,1170000,66319
S,Casas,São Carlos,1,Jardim Acapulco,São Paulo,RUA MADRE TEREZA DE CALCUTA,Padrão,200.0,333.48,3.0,2.0,2.0,2.0,4.0,700000,66318
S,Casas,São Carlos,1,VILA BELA VISTA,São Paulo,RUA JOAQUIM DA ROCHA MEDEIROS,Padrão,120.0,150.0,2.0,1.0,2.0,2.0,2.0,216000,66313
S,Casas,São Carlos,1,Jardim Ricetti,São Paulo,RUA TOTÓ LEITE,Padrão,190.0,320.0,3.0,2.0,4.0,4.0,4.0,470000,66305
S,Casas,São Carlos,1,Jardim Embaré,São Paulo,Avenida Clemente Talarico,Padrão,200.0,500.0,3.0,3.0,8.0,8.0,5.0,590000,66304
S,Casas,São Carlos,1,Jardim Centenário,São Paulo,Rua Borba Gato,Padrão,112.06,165.0,2.0,1.0,1.0,1.0,2.0,260000,66302
S,Casas,São Carlos,1,Jardim Jóckei Club A,São Paulo,Rua Rio Paranapanema,Padrão,108.4,165.0,3.0,3.0,2.0,2.0,5.0,450000,66299
S,Casas,São Carlos,1,Jardim Nossa Senhora Aparecida,São Paulo,Rua Aristides de Santi,Sobrado Condomínio,98.08,193.8,3.0,2.0,2.0,2.0,4.0,500000,66296
S,Casas,São Carlos,1,Jardim Paulista,São Paulo,Rua Floriano Peixoto,Padrão,120.0,296.0,2.0,1.0,3.0,3.0,2.0,380000,66293
S,Casas,São Carlos,1,Jardim Veneza,São Paulo,Rua Nelcio Torresam,Padrão,140.0,208.0,2.0,1.0,2.0,2.0,2.0,385000,66290
S,Casas,São Carlos,1,Recreio dos Bandeirantes,São Paulo,Avenida Paulo de Arruda Correa da Silva,Sobrado,219.6,360.0,4.0,4.0,3.0,3.0,6.0,820000,66269
S,Casas,São Carlos,1,Jardim Ricetti,São Paulo,Rua Vicente D'Aquino,Padrão,270.0,270.0,3.0,2.0,3.0,3.0,4.0,560000,66268
S,Casas,São Carlos,1,SANTA FELICIA,São Paulo,Rua Joaquim Augusto Ribeiro de Souza,Padrão,150.0,150.0,4.0,2.0,2.0,2.0,5.0,380000,66260
S,Casas,São Carlos,1,Jardim Bicão,São Paulo,Rua José Laurimir Laurindo Leandro,Padrão,83.03,125.0,2.0,1.0,2.0,2.0,2.0,270000,66250
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,AV. OTTO WERNER ROSEL,Condomínio,98.0,140.0,2.0,2.0,2.0,2.0,3.0,280000,66246
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,AV. OTTO WERNER ROSEL,Condomínio,102.0,140.0,3.0,2.0,2.0,2.0,4.0,380000,66245
S,Casas,São Carlos,1,Jardim Bandeirantes,São Paulo,Rua José Palone,Padrão,103.0,300.0,3.0,1.0,1.0,1.0,3.0,370000,66240
S,Casas,São Carlos,1,Residencial Samambaia,São Paulo,Av. AVENIDA PEDRO MUSZKAT,Condomínio,145.0,250.0,3.0,2.0,2.0,2.0,4.0,920000,66238
S,Casas,São Carlos,1,Vila Boa Vista 1,São Paulo,Rua Sebastião José Alexandre,Padrão,138.19,206.25,2.0,1.0,2.0,2.0,2.0,200000,66227
S,Casas,São Carlos,1,Parque Industrial,São Paulo,Rua Itagibá Cardoso de Toledo,Padrão,80.0,140.0,2.0,1.0,2.0,2.0,2.0,235000,66208
S,Casas,São Carlos,1,Parque Tecnológico Damha,São Paulo,RUA MIGUEL DAMHA,Condomínio,301.0,440.0,5.0,2.0,6.0,6.0,6.0,2000000,66206
SL,Casas,São Carlos,1,Jardim do Bosque,São Paulo,Luiz Gonzaga Grande Junior,Área de Lazer,70.0,253.0,1.0,1.0,6.0,6.0,1.0,320000,66199
S,Casas,São Carlos,1,Vila Marcelino,São Paulo,RUA RAIMUNDO CORREA,Sobrado,218.3,181.5,3.0,2.0,2.0,2.0,4.0,550000,66174
S,Casas,São Carlos,1,Jardim Jóckei Club A,São Paulo,Rua Ray Wesley Herrick,Condomínio,215.0,384.0,3.0,4.0,6.0,6.0,6.0,1300000,66173
S,Casas,São Carlos,1,Parque Faber Castell,São Paulo,Passeio das Magnólias,Condomínio,210.4,356.0,3.0,4.0,0.0,0.0,6.0,1380000,66171
S,Casas,São Carlos,1,Parque Santa Mônica,São Paulo,Avenida José Gonçalves Carneiro,Padrão,294.83,585.0,4.0,5.0,2.0,2.0,5.0,700000,66168
S,Casas,São Carlos,1,Jardim Jóckei Club A,São Paulo,Rua Ray Wesley Herrick,Condomínio,220.0,275.0,3.0,3.0,4.0,4.0,4.0,1280000,66162
S,Casas,São Carlos,1,Jardim Jóckei Club A,São Paulo,Rua Ray Wesley Herrick,Condomínio,156.0,240.0,3.0,3.0,2.0,2.0,6.0,900000,66152
S,Casas,São Carlos,1,Jardim Ricetti,São Paulo,RUA TOTÓ LEITE,Padrão,235.65,360.0,4.0,2.0,2.0,2.0,5.0,480000,66118
S,Casas,São Carlos,1,Jardim Araucária,São Paulo,Rua Dirce Bellasalma Roiz,Padrão,100.0,200.0,2.0,2.0,3.0,3.0,2.0,280000,66116
S,Casas,São Carlos,1,RESIDENCIAL ITAMARATI,São Paulo,RUA MAURO TOMAZI,Padrão,160.0,250.0,3.0,3.0,3.0,3.0,4.0,560000,66112
S,Casas,São Carlos,1,Parque Sisi,São Paulo,RUA JOSÉ TEIXEIRA,Padrão,99.23,125.0,1.0,1.0,1.0,1.0,1.0,200000,66111
S,Casas,São Carlos,1,Vila Boa Vista 1,São Paulo,Rua Antônio Frederico Ozanan,Padrão,164.56,134.25,3.0,3.0,2.0,2.0,4.0,370000,66107
S,Casas,São Carlos,1,Residencial Samambaia,São Paulo,Av. AVENIDA PEDRO MUSZKAT,Condomínio,165.47,250.0,3.0,2.0,2.0,2.0,4.0,850000,66099
S,Casas,São Carlos,1,Parque Tecnológico Damha,São Paulo,RUA MIGUEL DAMHA,Condomínio,270.0,480.0,3.0,3.0,4.0,4.0,6.0,1800000,66065
S,Casas,São Carlos,1,Jardim Ipanema,São Paulo,AV. OTTO WERNER ROSEL,Condomínio,92.0,100.0,3.0,1.0,2.0,2.0,3.0,275000,66048
S,Casas,São Carlos,1,Parque Santa Mônica,São Paulo,Rua Madre Saint Bernard,Padrão,370.0,1050.0,4.0,6.0,3.0,3.0,7.0,1500000,66041
SL,Casas,São Carlos,1,Vila São José,São Paulo,Rua Francisco Stella,Padrão,300.0,300.0,4.0,3.0,3.0,3.0,6.0,702000,66039
S,Casas,São Carlos,1,Vila Brasília,São Paulo,Rua Peru,Sobrado,199.05,182.0,4.0,2.0,2.0,2.0,4.0,380000,66034
S,Casas,São Carlos,1,Vila Boa Vista 1,São Paulo,Rua Martim Luther King,Padrão,152.14,183.49,3.0,2.0,2.0,2.0,3.0,380000,66021
S,Casas,São Carlos,1,BOA VISTA,São Paulo,Avenida Theodureto de Camargo,Padrão,90.0,140.0,2.0,1.0,2.0,2.0,2.0,350000,66019
S,Casas,São Carlos,1,Jardim Jóckei Club A,São Paulo,Rua Ray Wesley Herrick,Condomínio,185.0,287.0,3.0,2.0,3.0,3.0,4.0,1200000,66013
S,Casas,São Carlos,1,Jardim Araucária,São Paulo,Rua Renato Gambini Mayer,Padrão,140.0,140.0,2.0,2.0,2.0,2.0,3.0,373000,66009
