indType,Property_Category,namCondominium,District,Street_name,property_subcategory,numNumber,Built_up_area,Area_total,Bedroom,Bathroom,totalGarages,totalRooms,valSales,latitude,longitude,totalAccess,flgHighlight,Property tax,Condominium,prop_char_95
S,Apartamentos,Edifício Portal do Sol,Recreio São Judas Tadeu,AV. GETÚLIO VARGAS,Padrão,2475,,50,2,1,1,2,266000,-22.0350361,-47.8680662,25,1,0,0,50
S,Apartamentos,Jose de Alencar ,Vila Costa do Sol,Rua José de Alencar,Kitnet,37,,35,1,1,,1,490000,-22.00286,-47.89073,14,1,0,0,35
S,Casas,,SANTA FELICIA,Rua Marcus Vinícius de Mello Moraes,Comercial,552,228,150,2,3,1,3,480000,,,13,1,0,,
S,Terreno,Residencial Samambaia,Residencial Samambaia,RUA DOUTOR JOSÉ ELIZIO DE OLIVEIRA LEITE,Condomínio,0,,295.13,,,,,230000,-21.95614,-47.8841,22,1,,0,
S,Casas,,Parque Belvedere,Rua Maria Broggio Asenha,Área de Lazer,2,128.46,518.5,1,2,5,2,426000,-21.99802,-47.87183,2,0,,,
S,Apartamentos,Ed. Unicco,Jardim Macarengo,Rua Adolfo Catani,Padrão,651,,40,1,1,1,1,250000,-22.0070149,-47.8915395,21,1,0,240,32
S,Casas,Moradas São Carlos I,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,1455,100,,2,2,1,2,200000,-21.98484,-47.93834,16,1,0,125,
S,Apartamentos,Edifício Antonio Stella Moruzzi ,Cidade Jardim,AV. DAS GARDÊNIAS,Padrão,241,,81.83,2,1,1,2,240000,-21.9992483,-47.893749,30,0,,0,
S,Casas,,Conjunto Habitacional Dom Constantino Amstalden,Rua Hend Cury,Padrão,180,100,138,2,2,1,3,260000,-21.99324246,-47.8660476,31,0,,,
S,Casas,,Jardim Embaré,RUA LUIS PICON,Padrão,105,92.23,250,2,1,2,2,415000,-21.96909,-47.93323,20,0,0,,
S,Terreno,Condomínio Parque dos Pinheiros ,Parque dos Timburis,Rua Cremilde Zabotto Poianas,Condomínio,0,0,144,,,,,155000,-22.01855,-47.85985,29,0,,0,
S,Apartamentos,Parque Monte Everest ,Parque Fehr,Servidão de Passagem João Deriggi,Padrão,181,,50,2,1,1,2,192000,,,27,0,,187.44,50
S,Casas,Condomínio Parque Residencial Damha II,Parque Tecnológico Damha,RUA MIGUEL DAMHA,Condomínio,1400,470,1000,5,5,6,10,2900000,-21.96392,-47.89699,49,0,,1915,
S,Casas,Moradas São Carlos II,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,1111,48,100,3,1,2,3,230000,-21.98484,-47.93834,41,0,0,130,
S,Apartamentos,Edifício Wady Cury,Cidade Jardim,Alameda dos Crisântemos,Padrão,90,,50,2,1,1,2,190000,-22.00069,-47.89922,23,0,,0,50
S,Casas,,Jardim Paraíso,RUA MAESTRO JOÃO SEPPE,Padrão,773,155,300,3,2,2,3,1000000,-22.01002,-47.90194,22,0,,,
S,Apartamentos,Edifício Torre di Itália,Centro,Rua Padre Teixeira,Padrão,2670,,74,3,2,1,4,550000,-22.01418,-47.88435,54,0,,550,74
S,Terreno,,Jardim Medeiros,Rua Mário Pinotti,Padrão,0,,285,,,,,120000,-22.037,-47.91736,16,0,0,,
S,Terreno,,Jardim das Torres Prolongamento,Rua NAIR APPARECIDA BRUNELLI TERRONI,Padrão,0,,253,,,,,120000,-22.03217,-47.91919,15,0,0,,
S,Casas,Condomínio Village Damha III,Jardim Jóckei Club A,Rua Ray Wesley Herrick,Condomínio,1500,170,291.5,3,3,4,6,1150000,-21.98228,-47.89581,39,0,,0,
S,Apartamentos,Edifício Residencial Riverside,Jardim Gibertoni,Rua Humberto Manelli,Padrão,200,,47,2,2,1,3,277000,-22.0187394,-47.9062841,31,0,,0,
S,Terreno,,Conjunto Habitacional Planalto Verde,Rua Pastor José Fernandes Vieira,Lote,,,175.13,,,,,76000,,,10,0,0,,
S,Casas,,Vila Boa Vista 1,Rua Henrique Gregori,Padrão,600,125,250,2,1,2,2,500000,-22.03561,-47.90115,44,0,,,
S,Casas,,Jardim Nova São Carlos,RUA DOMINGOS BIBBO,Padrão,40,187,300,4,3,8,4,650000,-22.03032,-47.87324,40,0,0,,
S,Casas,Condomínio Parque Residencial Damha I ,Parque Tecnológico Damha,RUA MIGUEL DAMHA,Condomínio,1000,238,420,3,5,4,6,1800000,-21.96392,-47.89699,32,0,,0,
S,Casas,,DOURADINHO,Rua Doutor Paulo Botassi,Padrão,573,106,197.8,2,2,3,3,370000,-22.01711,-47.85033,20,0,0,,
S,Apartamentos,Edifício Itamaracá,Parque Santa Mônica,Avenida Tancredo de Almeida Neves,Padrão,457,,70,2,2,1,3,230000,-22.02074,-47.912,71,0,0,385,60.65
S,Casas,,MARIA STELLA FAGA,Rua Rafaela Saldanha,Padrão,69,100,1.84,2,2,4,3,280000,-22.00452,-47.85623,51,0,,,
S,Casas,,Jardim Embaré,Rua Orlando de Oliveira,Padrão,560,125,250,1,1,2,1,370000,-21.96834,-47.93896,30,0,,,
S,Casas,,Jardim Embaré,Rua Orlando de Oliveira,Padrão,485,200,250,4,5,4,7,850000,-21.96847,-47.93909,25,0,,,
S,Casas,,Vila Boa Vista,Rua Luiz Carlos de Arruda Mendes,Padrão,639,156.4,257.55,3,3,2,3,373000,-22.0257193,-47.9072362,24,0,,,
S,Casas,,MARIA STELLA FAGA,Rua Rafaela Saldanha,Padrão,70,120,190.9,2,2,2,3,380000,,,42,0,,,
S,Casas,Residencial Grand Ville,Planalto Paraíso,Rua Noêmia Sampaio de Souza,Condomínio,55,200,300,4,2,2,5,700000,-22.00546,-47.90963,29,0,0,0,
S,Terreno,Residencial Samambaia,Residencial Samambaia,Rua Joaquim de Meira Botelho,Condomínio,170,,250,,,,,170000,,,22,0,,0,
S,Casas,,Residencial Arcoville,Rua Roberto De Genova,Padrão,385,80.16,220,3,2,2,4,350000,-21.96066,-47.93188,37,0,,,
S,Apartamentos,Ed. Romeu Santini - Bloco 32,Romeu Santini,Rua Doutor Eufrauzino Moreira,Padrão,32,,54.41,2,1,1,2,140000,-22.02483,-47.91583,14,0,19.33,0,51.41
S,Casas,,Jardim Acapulco,Rua Ozigl de Camargo Lima,Padrão,105,187.95,250,2,1,4,2,480000,-21.99502,-47.91539,13,0,0,,
S,Apartamentos,Edifício First Class,Jardim Santa Paula,RUA OSCAR DE SOUZA GERIBELO,Padrão,635,,48.18,1,1,,1,165000,-21.99779,-47.89912,10,0,0,0,44.43
S,Casas,,Jardim Botafogo 1,RUA DOUTOR JOÃO DE OLIVEIRA,Padrão,495,241,680,3,4,2,5,900000,-22.0288,-47.90742,34,0,0,,
S,Casas,,Centro,RUA SÃO SEBASTIÃO,Comercial,1971,186,240,3,4,2,5,1150000,-22.01313,-47.89128,25,0,,,
S,Apartamentos,Edifício Torre di Itália,Centro,Rua Padre Teixeira,Padrão,2670,,74,3,2,1,4,570000,-22.01418,-47.88435,67,0,,0,74
S,Casas,,Jardim Cruzeiro do Sul,Rua Basílio Dibbo,Padrão,305,252,363,3,3,10,6,720000,-22.03793,-47.89007,30,0,,,
S,Terreno,Condomínio Parque Residencial Damha IV,Parque Tecnológico Damha,RUA MIGUEL DAMHA,Condomínio,1601,,366.83,,,,,478000,-21.96392,-47.89699,24,0,,450,
S,Comercial,Condomínio Tríade 2 - Edifício São Paulo ,Parque Faber Castell,Passeio dos Flamboyants,Sala,60,,38,,1,1,,250000,-22.01764,-47.91696,18,0,,567,38
S,Terreno,Condomínio Parque Residencial Damha IV,Parque Tecnológico Damha,RUA MIGUEL DAMHA,Condomínio,1601,,366.83,,,,,478000,-21.96392,-47.89699,17,0,0,450,
S,Terreno,,Jardim Santa Júlia,Rua JOÃO DE SANTI,Padrão,88,,250,,,,,230000,,,25,0,,,
S,Apartamentos,Spazio Mont Royal,Distrito Industrial Miguel Abdelnur,Av. DR. HEITOR JOSE REALI,Padrão,1031,,50,2,1,1,2,170000,,,27,0,,230,50
SL,Casas,,Jardim Araucária,Rua AMÉLIA CAMPITELLI MARCHETTI,Padrão,95,70,155.26,2,2,2,2,290000,-21.97371,-47.95009,288,0,15.79,,
S,Apartamentos,Edificio Residencial Conillera,Jardim São Carlos,Rua Geminiano Costa,Padrão,2080,,55,2,1,1,2,249000,-22.02047,-47.87708,70,0,49,220,49.22
S,Casas,,Residencial Astolpho Luiz do Prado,Rua Orlando Salvini,Padrão,119,150,167.2,3,1,2,3,430000,-21.99394,-47.85995,16,0,0,,
S,Rural,,Jardim Martinelli,AV. PACAEMBU,Área,0,,,,,,,146000,-22.03958,-47.89993,47,0,,,
SL,Casas,,Jardim Beatriz,Rua Batista Laura Ricetti,Padrão,824,178.35,255,3,3,2,5,373000,-22.0362,-47.9105918,253,0,45,,
S,Apartamentos,Edifício Itamaracá,Parque Santa Mônica,Avenida Tancredo de Almeida Neves,Padrão,457,,65,2,2,1,3,250000,-22.02074,-47.912,34,0,,360,65
S,Rural,,Jardim Martinelli,AV. PACAEMBU,Chácara,385,308.25,,3,3,2,3,850000,-22.03958,-47.89993,30,0,,,
S,Apartamentos,Residencial De Vitro,Recreio São Judas Tadeu,Avenida Gregório Aversa,Padrão,325,,54,2,1,1,2,140000,-22.03305,-47.86829,20,0,,0,54
S,Casas,,Vila Izabel,Rua José Corusse Carminé,Padrão,110,28,210,1,1,6,1,140000,-22.0351385,-47.8824646,21,0,,,
S,Terreno,,MONJOLINHO,Rodovia Engenheiro Thales de Lorena Peixoto Júnior,Padrão,,,250,,,,,190000,,,15,0,0,,
S,Casas,Moradas São Carlos II,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,1111,52,100,2,2,2,3,270000,-21.98484,-47.93834,27,0,0,130,
S,Terreno,,Jardim Embaré,Rua Orlando de Oliveira,Padrão,485,,250,,,,,143000,-21.96847,-47.93909,35,0,0,,
S,Casas,,SANTA FELICIA,Rua Domingos Diegues,Padrão,436,125,150,2,1,2,2,320000,-21.99726,-47.91959,43,0,0,,
S,Terreno,,Centro,Rua Conde do Pinhal,Lote,3279,111.65,632.5,,,,,585000,-22.01767,-47.87828,34,0,0,,
S,Casas,,Centro,Rua Conde do Pinhal,Padrão,3263,255.87,522.5,3,2,2,4,1100000,-22.01765,-47.87839,37,0,0,,
S,Casas,,Jardim Bandeirantes,RUA ABRAHÃO JOÃO,Padrão,937,115,170,2,2,2,3,370000,-22.00096,-47.90998,26,0,0,,
S,Apartamentos,Edifício Green Tower ,Jardim Gibertoni,RUA CORONEL CARLOS SIMPLICIO RODRIGUES,Padrão,136,,50,2,2,1,3,260000,-22.01849,-47.90788,53,0,,180,50
S,Casas,Condomínio Parque Residencial Damha II,Parque Tecnológico Damha,RUA MIGUEL DAMHA,Condomínio,1400,510,1115,4,6,6,8,4500000,-21.96392,-47.89699,83,0,,0,
S,Terreno,,Cidade Aracy,Rua Lourenço Mascarin,Padrão,0,,250,,,,,139000,-22.061,-47.9051,27,0,,,
S,Apartamentos,Ed. Romeu Santini- Bloco 3,Romeu Santini,Rua Armando Albieri,Padrão,3,,55,2,1,1,2,139000,-22.02632,-47.91455,32,0,,0,
SL,Apartamentos,Edifício Due Residence,Jardim Bethânia,RUA ALDO POZZI,Padrão,1129,,50,2,2,1,3,375000,-22.01511,-47.90075,74,0,50,300,50
S,Comercial,,Centro,Rua Geminiano Costa,Prédio,542,,330,,2,,,2660000,-22.02078,-47.89212,33,0,0,,330
S,Apartamentos,MONTE DOS PINHEIROS ,Parque Faber Castell,Avenida dos Sanhaços,Padrão,901,,68,2,1,1,2,325000,-22.01498,-47.91203,46,0,0,0,56
S,Casas,,NSA APARECIDA,AV. LUIZ INÁCIO DA SILVA,Padrão,180,99,150,2,2,2,3,330000,-22.0223837,-47.8777651,69,0,0,,
S,Casas,Condomínio Faixa Azul,Residencial Samambaia,Av. AVENIDA PEDRO MUSZKAT,Condomínio,911,245,250,3,2,2,4,1090000,-21.96297,-47.88913,118,0,0,200,
S,Casas,,Jardim Santa Júlia,Rua DIRCEU VIDAL,Padrão,139,80,187.5,3,2,2,4,560000,,,53,0,0,,
S,Casas,,SANTA FELICIA,AV. BRUNO RUGGIERO FILHO,Padrão,717,125.05,69.08,2,1,1,2,360000,,,23,0,0,,
S,Terreno,,Jardim Embaré,RUA AGINALDO MELO NUNES,Padrão,0,,250,,,,,150000,-21.96485,-47.93929,23,0,,,
S,Casas,,Parque Delta,Rua Octávio Boro,Sobrado,83,190,150,3,2,2,4,520000,-21.99093,-47.89538,16,0,,,
S,Rural,,PARQUE TECNOLOGICO,Rod LUIZ AUGUSTO DE OLIVEIRA,Sítio,135,,,3,2,,3,1400000,,,28,0,,,
SL,Comercial,,Centro,RUA AQUIDABAN,Sala,217,,187,,3,,,640000,-22.02234,-47.89467,49,0,76,,200
S,Casas,,Jardim Tangará,Rua Pedro Monteleone,Padrão,11,149.43,138,3,2,2,4,350000,,,52,0,0,,
S,Casas,Condomínio Terra Nova,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,777,135,143,3,2,2,3,426000,,,115,0,,250,
S,Terreno,,Jardim Letícia,Rua João Guastaldi,Padrão,206,,250,,,,,190000,,,34,0,,,
S,Terreno,,Residencial Arcoville,Avenida Um,Padrão,70,,260,,,,,160000,,,30,0,,,
S,Casas,,Parque Industrial,RUA EUGÊNIO GALUCCI,Padrão,175,18,300,2,2,2,3,525000,,,55,0,,,
S,Casas,,Cidade Aracy,Rua Pedro de Paula,Padrão,171,92,125,2,1,2,2,185000,,,30,0,,,
S,Terreno,,Jardim das Torres Prolongamento,Rua NAIR APPARECIDA BRUNELLI TERRONI,Padrão,1,,250,,,,,120000,-22.03166,-47.91866,7,0,0,,
S,Terreno,Condomínio Recanto do Sabiá ,Residencial Samambaia,Avenida Francisco Falvo,Condomínio,876,,250,,,,,200000,-21.9565,-47.88721,30,0,0,0,
S,Casas,,Jardim Social Belvedere,RUA AURÉLIO SANCHEZ,Padrão,542,120,138,2,1,2,2,185000,-22.04315,-47.90384,25,0,0,,
S,Casas,Condomínio Nossa Senhora de Nazaré,Jardim Cardinalli,Rua Pastor Cyrus Basset Dawsey,Condomínio,40,60,103,2,1,2,2,300000,-22.02291,-47.87302,81,1,70,120,
S,Apartamentos,Edifício Mirante Araucária ,Jardim Alvorada,Rua Luiz Barbosa de Campos,Padrão,142,,56,2,2,1,3,403000,-22.0100242,-47.9078969,449,0,0,0,56
S,Casas,,Cidade Aracy,Rua Hilário Martins Dias,Padrão,72,85,125,2,1,1,2,149000,-22.06076,-47.89882,14,0,,,
S,Apartamentos,Condomínio Green View,Parque Faber Castell,Passeio das Palmeiras,Padrão,520,,64,3,2,1,4,402800,-22.01629,-47.91655,49,0,,0,64
S,Casas,,Jardim Nova Santa Paula,AV. LIBERDADE,Padrão,151,176,300,3,2,2,4,595000,-21.99868,-47.89928,93,0,0,,
