indType,Property_Category,namCondominium,District,Street_name,property_subcategory,numNumber,Built_up_area,Area_total,Bedroom,Bathroom,totalGarages,totalRooms,valSales,latitude,longitude,totalAccess,flgHighlight,Property tax,Condominium,prop_char_95
S,Casas,,Cidade Jardim,Alameda das Azaleias,Padrão,212,150,360,2,1,1,2,320001,,,108,0,,,
S,Casas,Moradas São Carlos II,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,1111,50,100,2,2,2,3,260000,-21.98484,-47.93834,280,0,,130,
S,Apartamentos,Edifício Spazio Monte Azul,Distrito Industrial Miguel Abdelnur,Av. DR. HEITOR JOSE REALI,Padrão,1426,,43,2,1,1,2,170000,,,54,0,,0,43
S,Casas,,Vila Marcelino,Rua Gonçalves Dias,Padrão,516,240,240,3,2,3,4,440000,,,99,0,,,
S,Casas,,Vila Costa do Sol,Rua Marcolino Lopes Barreto,Padrão,848,80,150,2,1,1,2,250000,-22.02083,-47.88172,363,0,45,,
S,Casas,,Portal do Sol,Avenida José Ferro,Sobrado,321,498.74,759.75,3,4,3,5,1150000,-22.02414,-47.87208,146,0,0,,
S,Terreno,Residencial Eldorado,Residencial Eldorado,Rua Miguel Petroni,Condomínio,4900,,325.55,,,,,330001,-21.98957,-47.92169,95,0,228,500,
S,Apartamentos,Edifício Dagoberto Ferreira ,Jardim Lutfalla,RUA JACINTO FAVORETO,Padrão,630,,45,1,1,1,1,230000,-22.00589,-47.8915,123,0,,140,34
S,Terreno,Residencial Villeneuve,Jardim Jóckei Club A,Rua Ray Wesley Herrick,Residencial,2816,0,239.7,,,,,245000,-21.96235031,-47.90999293,135,0,0,259,
SL,Comercial,,Vila Faria,Rua da Imprensa,Barracão,26,,350,1,3,2,1,750000,-22.01476,-47.87663,282,0,110,,350
S,Casas,,Vila Boa Vista 1,Rua Natalino Mastro Francisco,Padrão,1075,190,250,2,1,3,2,320000,-22.03336,-47.90486,174,0,,,
S,Casas,,Parque dos Flamboyant,Rua RUA VEREADOR ANTÔNIO DIAS GUILLEN FILHO,Padrão,27,75,160,2,2,2,3,415000,,,228,0,,,
S,Terreno,,Jardim Centenário,Rua João Ramalho,Padrão,473,,346.5,,,,,230000,-21.99763,-47.90349,141,0,0,,
S,Casas,Residencial Villaggio Marabá,Vila Marcelino,RUA RAIMUNDO CORREA,Condomínio,1018,70.93,120,3,2,2,4,299000,-22.02946,-47.88114,816,0,40,300,
S,Casas,,Jardim Centenário,Rua Borba Gato,Padrão,525,660,325,4,4,2,6,1000000,-21.99719,-47.90405,141,0,,,
S,Terreno,,Salto do Monjolinho,Estrada Municipal Cônego Washington José Pera,Padrão,0,,228.41,,,,,156000,,,71,0,,,
S,Apartamentos,Spazio Monte Alto ,Jardim Ipanema,Rua Laura Villani Piovesan,Padrão,65,,46,2,2,1,3,176000,-21.98694,-47.92543,133,0,,170,46
S,Apartamentos,Edifício Drummond,Jardim Lutfalla,Rua Cézar Ricomi,Kitnet,233,,30,1,1,,1,176000,,,38,0,,158,30
S,Terreno,,MADRE CABRINI,Avenida Santa Madre Cabrine,Comercial,310,,600,,,,,458000,-22.04818,-47.89359,116,0,,,
S,Apartamentos,Eco Residence  Jardim Gibertoni,Jardim Gibertoni,Rua Salesianos do Brasil,Padrão,105,,67.53,2,2,2,3,450000,-22.0188541,-47.9072237,213,0,,242,67.53
S,Terreno,,Jardim Embaré,RUA AGINALDO MELO NUNES,Padrão,,,250,,,,,149000,,,108,0,0,,
S,Casas,,Residencial Parque Douradinho,Rua Miguel Petrilli,Padrão,71,130,172,3,1,4,3,300000,-22.01919,-47.84392,187,0,,,
S,Apartamentos,Edifício Ipanema ,CENTRO,RUA EPISCOPAL,Padrão,1700,,120,3,3,1,4,700000,-22.01559,-47.89165,846,0,140,1000,120
S,Casas,,Cidade Aracy,AV. ARNOLDO ALMEIDA PIRES,Padrão,800,55,128,2,1,2,2,200000,-22.0541467,-47.9071304,297,0,43,,
S,Casas,,Cidade Aracy,Rua Maristela Tagliatella Custódio,Padrão,1265,112.65,150,2,1,1,2,171000,-22.062,-47.89472,621,0,39,,
S,Casas,,Vila Monteiro (Gleba I),Rua São Joaquim,Comercial,2023,250,42.48,,3,4,,852001,-22.0084,-47.88904,114,0,,,
S,Terreno,Condomínio Faixa Azul,Residencial Samambaia,Av. AVENIDA PEDRO MUSZKAT,Residencial,911,,250,,,,,250001,-21.96297,-47.88913,124,0,86,200,
S,Casas,,Jardim Jóckei Club A,Rua Rio Mogi Guaçu,Padrão,60,195,222,3,1,2,3,479000,-21.98242,-47.89617,92,0,,,
S,Apartamentos,Spazio Monte Logan ,SANTA FELICIA,TVS FRANCISCO LATORRE PRIMO,Padrão,12,,44,2,1,,2,212000,-21.9991606,-47.9165322,95,0,,0,44
S,Rural,,ARACE DE SANTO ANTÔNIO,Avenida João Formenton,Chácara,25,300,,2,2,,4,660000,,,159,0,,,
S,Casas,,Vila Costa do Sol,Rua São Paulo,Padrão,2827,109.51,250,3,2,2,4,310000,-22.00092,-47.88614,86,0,,,
SL,Apartamentos,Edifício Isabela ,Jardim São Carlos,Rua Conde do Pinhal,Padrão,2952,,57.78,1,1,1,1,191000,-22.01776,-47.88145,169,0,,580,57.78
S,Casas,,Vila Boa Vista 1,Rua Jerônimo Costa Terra,Padrão,2233,179,336,2,1,,2,350000,-22.03741,-47.91213,63,0,0,,
S,Apartamentos,Edifício Ipanema ,CENTRO,RUA EPISCOPAL,Padrão,1700,,116,3,2,,4,529001,-22.01559,-47.89165,136,0,0,1100,116
S,Apartamentos,Edifício Emilio Manzano,Vila Monteiro (Gleba I),RUA DONA ALEXANDRINA,Padrão,1249,,76,2,2,1,2,280000,-22.01488,-47.88988,644,0,110.4,560,76
S,Apartamentos,Residencial Ana Paula ,Vila Rancho Velho,Rua Theodolina Modena Coca,Padrão,85,,50,2,1,1,2,170000,-22.01084,-47.86918,419,0,35,310,50
S,Apartamentos,Residencial Ana Paula ,Vila Rancho Velho,Rua Theodolina Modena Coca,Padrão,85,,50,2,1,1,2,190000,-22.01084,-47.86918,329,0,34.78,310,50
S,Apartamentos,Residencial Ana Paula ,Vila Rancho Velho,Rua Theodolina Modena Coca,Padrão,85,,50,2,1,1,2,190000,-22.01084,-47.86918,200,0,0,300,50
S,Casas,,Vila Carmem,Rua Cesar Dacorso Filho,Padrão,1095,185,250,2,1,1,2,426000,-22.0274,-47.90779,786,0,38.97,,
S,Comercial,,SANTA FELICIA,AV. BRUNO RUGGIERO FILHO,Barracão,433,,150,,1,6,,700000,-22.0002308,-47.9171913,145,0,,,142.5
S,Terreno,Condomínio Monte das Araucárias ,SANTA FELICIA,AV. BRUNO RUGGIERO FILHO,Condomínio,180,,300,,,,,350001,-22.0001151,-47.9170361,114,0,0,0,
S,Casas,Condomínio Residencial Quebec,Condomínio Residencial Quebec,Avenida Professora Maria de Cresci Leopoldino,Condomínio,755,120,308,3,2,6,3,850000,,,272,0,,0,
S,Apartamentos,Aurora Gardens Residential Club ,Centreville,Rua José Rodrigues Sampaio,Padrão,777,,109,3,3,2,4,1010650,-22.02495338,-47.88201212,371,0,409.09,500,109
S,Casas,Residencial Flamboyant II,Jardim Tangará,Rua Victório Bonucci,Condomínio,691,52.2,135.04,2,1,2,2,256000,-22.0135242,-47.8549364,184,0,,130,
S,Apartamentos,Edifício Saint Pierre,Jardim Paraíso,RUA CONSELHEIRO JOÃO ALFREDO,Padrão,119,,65,2,1,1,2,230000,-22.00789,-47.90004,262,0,,300,65
SL,Casas,,Jardim São Carlos,Rua Conde do Pinhal,Comercial,2446,360.8,230.91,,2,1,,692000,-22.01787,-47.8863,215,0,190,,
SL,Casas,,Jardim São Carlos,Rua Conde do Pinhal,Comercial,2442,221.92,365.82,,2,1,,586000,-22.01787,-47.88639,209,0,183,,
S,Apartamentos,,Jardim Paraíso,Rua Professor Ernfrid Frick,Padrão,823,,300,1,1,1,1,630000,-22.0093,-47.90338,127,0,0,,217
S,Casas,,Jardim Gonzaga,Travessa Aparecida Basílio de Camargo Silva,Padrão,39,109.44,138.83,2,2,2,3,170300,-22.0438667,-47.8931627,142,0,0,,
S,Terreno,Condomínio Recanto do Sabiá ,Residencial Samambaia,Avenida Francisco Falvo,Condomínio,876,0,251,,,,,192000,-21.95781293,-47.88708687,77,0,0,0,
S,Casas,,Planalto Paraíso,Rua Manoel José Serpa,Padrão,1095,258,300,3,2,2,4,550000,-22.00218,-47.91855,455,0,,,
S,Terreno,,Núcleo Residencial Silvio Vilari,Rua Joaquim Evangelista de Toledo,Comercial,301,,840.8,,,,,848000,-22.0299074,-47.8924589,141,0,,,
S,Casas,,Jardim São João Batista,Rua Durvalino Gonçalves da Silva,Padrão,498,164,260,3,3,4,4,450000,-22.00287,-47.87738,58,0,,,
S,Casas,Condomínio Recanto do Bosque ,Loteamento Municipal São Carlos 3,Rua Danilo Mic'Alli,Condomínio,50,76.2,93,3,2,2,4,540000,,,373,0,,0,
S,Casas,,Jardim Santa Paula,Rua José Duarte de Souza,Padrão,905,198,330,3,2,2,4,650000,-21.99666,-47.89803,283,0,,,
S,Comercial,Condomínio Tríade 1 - Edifício Londres ,Parque Faber Castell,Rua Passeio dos Ipês,Sala,320,,39,,,1,,300000,-22.01963,-47.91604,215,0,110,0,39
S,Comercial,Condomínio Tríade 1 - Edifício Londres ,Parque Faber Castell,Rua Passeio dos Ipês,Sala,320,,39,,1,1,,300000,-22.01963,-47.91604,256,0,110,450,39
S,Casas,,Jardim Hikari,Rua Imperador Hiroito,Padrão,134,134,250,3,2,3,4,630000,-21.99311,-47.90194,248,0,0,,
S,Casas,,Jardim Nova São Carlos,Rua Antônia Tirza Sanches Dinucci,Sobrado,180,133.75,141.3,4,1,2,5,350000,-22.0297,-47.87186,169,0,,,
S,Apartamentos,Edifício Residencial Parati,Jardim Bethânia,Rua Paulino Botelho de Abreu Sampaio,Cobertura,375,,250,4,3,4,6,1800000,-22.01382,-47.90086,775,0,454.54,2500,250
S,Casas,,Jardim Tijuca,RUA ANA APARECIDA PRADO CANTADOR,Padrão,28,45,154,2,1,3,2,280000,-22.03844,-47.8586,127,0,,,
S,Casas,,Cidade Aracy,Rua Guilherme Simão Darezzo,Sobrado,1141,125,125,2,2,2,2,300000,-22.0555889,-47.9143703,92,0,,,
S,Casas,,Vila Monteiro (Gleba I),RUA DOM PEDRO II,Comercial,1466,230,594,3,2,,3,1275000,-22.01364,-47.88775,115,0,,,
S,Terreno,Residencial Samambaia,Residencial Samambaia,Rua Joaquim de Meira Botelho,Condomínio,25,0,250,,,,,189000,-21.9571886,-47.8829715,142,0,,0,
S,Terreno,Residencial Samambaia,Residencial Samambaia,Rua Joaquim de Meira Botelho,Condomínio,26,0,250,,,,,189000,-21.9571757,-47.8826809,111,0,,110,
S,Casas,,Vila Conceição,RUA JOAQUIM ANTÔNIO ZANTUT,Padrão,197,125,125,2,1,2,2,150000,-22.04926,-47.89239,131,0,,,
S,Casas,,Parque Primavera,Rua José de Paula Lattanzio,Padrão,395,102,125,2,2,2,3,340500,-22.0068832,-47.8656501,175,0,,,
S,Comercial,,Jardim Tangará,Avenida Dom Carmine Rocco,Barracão,141,,630,,2,,,1100000,-22.01423,-47.85648,207,0,199,,350
S,Terreno,Condomínio Village Damha IV,VILLAGE DAMHA IV,Avenida Brasilino Damha,Condomínio,750,,275,,,,,319500,-21.97531,-47.89272,144,0,,320,
S,Apartamentos,Parque dos Manacás,Recreio São Judas Tadeu,Avenida Gregório Aversa,Padrão,371,,51.08,2,1,1,2,215000,-22.03366,-47.8659,161,0,,200,51.08
S,Apartamentos,Edifício Mirante Araucária ,Jardim Alvorada,Rua Luiz Barbosa de Campos,Padrão,142,,75,2,1,1,2,372000,-22.010009,-47.9079282,140,0,,228,60
S,Terreno,,Vila Arnaldo,Rua Miguel Giometti,Padrão,735,,341,,,,,280000,,,76,0,,,
S,Terreno,,SANTA FELICIA,Rua Pedro Fernandes Alonso,Lote,201,,150,,,,,150000,-22.00288,-47.91237,156,0,,,
S,Casas,,CENTRO,RUA MAJOR JOSÉ INÁCIO,Sobrado,3275,360,455,5,3,4,6,958001,-22.01657,-47.8784,231,0,,,
SL,Comercial,,Jardim São Carlos,RUA GENERAL OSÓRIO,Loja,671,,270,,3,,,1200000,-22.02151,-47.89287,185,0,310,,270
S,Casas,,Jardim Brasil,Rua Dona Maria Izabel de Oliveira Botelho,Padrão,1587,280,384,4,1,2,5,800000,-22.01997,-47.87891,192,0,,,
S,Casas,,Vila Faria,RUA MARECHAL DEODORO,Padrão,3736,101,242,2,1,2,2,532000,-22.01494,-47.87374,73,0,,,
S,Casas,,DOURADINHO,TVS ORQUÍDEA REIS ORTEGA,Padrão,464,130,354.11,3,2,4,4,450000,-22.0158947,-47.8513576,273,0,,,
S,Casas,,Vila Monteiro (Gleba I),RUA DOM PEDRO II,Padrão,660,394.88,695.42,3,2,1,3,1600000,-22.02091,-47.88757,93,0,,,
S,Terreno,,Vila Prado,RUA DONA ANA PRADO,Padrão,504,0,1080,,,,,1300000,-22.02607,-47.89729,115,0,0,,
S,Casas,,DOURADINHO,TVS JOÃO ANTÔNIO TORNICH,Padrão,138,80,172.5,3,2,2,3,400000,,,132,0,,,
S,Casas,Residencial Flamboyant III,Jardim Tangará,Rua Victório Bonucci,Condomínio,1251,65,200,2,2,2,3,350000,-22.00677,-47.85434,392,0,,0,
S,Casas,Condomínio Residencial Montreal,Condomínio Residencial Montreal,Avenida Professora Maria de Cresci Leopoldino,Condomínio,555,252,481.11,3,4,4,6,1490000,,,221,0,,0,
S,Terreno,Residencial Quinta Dos Buritis,Quinta dos Buritis,Est ESTRADA MUNICIPAL,Condomínio,0,,1000,,,,,265000,,,166,0,,0,
S,Apartamentos,Ed. Romeu Santini- Bloco 14,Romeu Santini,Rua Joaquim Ninelli,Padrão,14,,50,2,1,1,2,126000,-22.02592,-47.91536,136,0,,0,50
S,Terreno,Condomínio Monte das Araucárias ,SANTA FELICIA,AV. BRUNO RUGGIERO FILHO,Condomínio,180,,305.37,,,,,300001,-22.0001151,-47.9170361,120,0,,0,
S,Terreno,Condomínio Monte das Araucárias ,SANTA FELICIA,AV. BRUNO RUGGIERO FILHO,Condomínio,180,,312.66,,,,,300000,-22.0001151,-47.9170361,121,0,,0,
S,Terreno,Condomínio Valparaíso,VALPARAISO,Avenida Heitor de Carvalho,Condomínio,0,,5000,,,,,280000,,,175,0,,0,
S,Apartamentos,Wish Parque Faber ,Parque Faber Castell,Passeio das Magnólias,Padrão,345,,97,3,3,2,6,680000,-22.01308,-47.91926,263,0,,0,94
S,Apartamentos,Edifício Drummond,Jardim Lutfalla,Rua Cézar Ricomi,Padrão,233,,45,1,1,,1,176000,,,193,0,,158,45
S,Apartamentos,Edifício Sol Nascente,Jardim Nova Santa Paula,Rua Américo Jacomino Canhoto,Padrão,223,,56,2,1,1,2,212001,-21.99536,-47.90053,217,0,,320,56
S,Terreno,,Loteamento Albertini,TVS ANTÔNIO GUARANTINI,Padrão,0,,369.15,,,,,200000,-22.00718894,-47.87523139,128,0,,,
S,Casas,Condomínio Village Damha I,Jardim Jóckei Club A,Rua Ray Wesley Herrick,Condomínio,1501,151.5,269,3,3,4,6,1043001,-21.97934,-47.89713,293,0,,0,
S,Apartamentos,Edifício Parque Monte D'oro,SANTA FELICIA,Avenida João Stella,Padrão,20,,45.23,2,1,1,2,170000,-22.0034457,-47.9243968,217,0,0,220,45.23
S,Terreno,,Centro,RUA SÃO SEBASTIÃO,Padrão,1685,280,555.6,,,,,1400000,-22.01314,-47.89405,158,0,180,,
S,Comercial,,CENTRO,RUA SÃO SEBASTIÃO,Barracão,2585,,300,3,4,,3,1000000,-22.0133949,-47.8924605,207,0,280,,300
S,Apartamentos,Edifício Ouro Preto,CENTRO,RUA MAJOR JOSÉ INÁCIO,Padrão,2400,,70,3,2,2,4,340000,-22.01695,-47.88689,401,0,,0,70
S,Casas,,Jardim Centenário,Rua Borba Gato,Sobrado,100,106,62.62,3,3,1,4,371000,,,180,0,,,
S,Casas,,Cidade Aracy,RUA JOÃO MARTINS FRANCA,Padrão,593,120,125,2,2,2,3,240000,-22.0606011,-47.9085772,58,0,0,,
S,Casas,Moradas São Carlos II,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,1111,50,100,2,2,2,2,230000,-21.98484,-47.93834,287,0,0,130,
S,Apartamentos,Residencial Aline,Vila Pelicano,RUA ROBERTO SIMONSEN,Padrão,10,,56.54,2,,1,2,229001,-22.02188,-47.89755,454,0,45,205,56.54
S,Casas,,Jardim das Torres Prolongamento,Rua Manoel Rabello,Padrão,118,180,250,2,1,5,3,380000,-22.03274,-47.91539,84,0,,,
S,Terreno,,Jardim das Torres Prolongamento,Rua Professor Oscar Picchi,Residencial,0,,250,,,,,128000,-22.03754,-47.91786,165,0,0,,
S,Casas,,Jardim das Torres Prolongamento,Rua Professor Oscar Picchi,Padrão,259,160,250,1,2,6,1,210000,-22.03767,-47.91744,159,0,123,,
S,Terreno,Condomínio Residencial Montreal,Condomínio Residencial Montreal,Avenida Professora Maria de Cresci Leopoldino,Lote,555,,481.11,,,,,500001,,,205,0,0,0,
S,Casas,,Jardim Ricetti,RUA MAJOR MANOEL ANTÔNIO DE MATTOS,Padrão,1214,123.06,330,2,1,3,2,383000,-22.01814,-47.88078,171,0,0,,
S,Apartamentos,Edifício Due Residence Costa do Sol,Vila Costa do Sol,RUA ANTÔNIO BLANCO,Padrão,468,,64.5,2,2,1,3,320000,-22.0025371,-47.8863741,157,0,,160,64.5
SL,Casas,,Vila Faria,Rua Sete de Setembro,Padrão,3752,245,300,3,3,4,4,700000,-22.01585,-47.87395,472,0,162,,
S,Terreno,,Azulville 2,Rua Antônio Mascaro,Padrão,59,,138,,,,,107000,-22.02904,-47.86837,134,0,,,
S,Apartamentos,Edifício Alexandre P. da Luz,Cidade Jardim,Avenida das Gardênias,Padrão,241,,,2,1,,2,255000,-21.9992483,-47.893749,172,0,92,280,81.83
S,Casas,,PLANALTO VERDE,Rua MARIO FRANCISCO DE SOUZA NERY,Padrão,129,43,175,2,1,2,2,200000,-16.36508,-48.96715,159,0,,,
S,Casas,Moradas São Carlos I,Jardim Ipanema,AV. OTTO WERNER ROSEL,Padrão,1455,52,100,2,1,2,2,295000,-21.98484,-47.93834,142,0,,125,
S,Casas,,Residencial Astolpho Luiz do Prado,Rua Vereador Juvenal Silva,Padrão,165,65,151.1,2,1,2,2,239000,-21.99387,-47.85932,183,0,,,
S,Apartamentos,Edifício Ilha de Creta ,Jardim Paraíso,RUA ALICE J. DANNA JULIANA,Padrão,46,,55,1,1,1,1,185000,-22.00605,-47.90107,213,0,,0,55
S,Terreno,,Cidade Aracy,Rua Francisco Alberto Micelli,Residencial,0,,125,,,,,70000,-22.05913,-47.89649,263,0,0,,
S,Terreno,,RESIDENCIAL ITAMARATI,RUA CIDADE SHIBATA,Residencial,0,,253.27,,,,,181000,-22.0006,-47.85137,196,0,53.45,,
S,Apartamentos,Edifício Loibel,Jardim Paulistano,Rua Antônio Fischer dos Santos,Padrão,110,,65,2,2,1,3,320000,-21.99743,-47.89817,66,0,,245,65
S,Apartamentos,Edifício Monte Stella,Residencial Monsenhor Romeu Tortorelli,Avenida João Stella,Padrão,300,,45.37,2,1,1,2,150000,-22.0048495,-47.9234576,180,0,,0,45.37
S,Casas,,Jardim Cruzeiro do Sul,Rua Allan Kardec,Padrão,1110,139.44,330,2,1,2,2,372000,-22.0434844,-47.8881348,120,0,,,
S,Apartamentos,Edifício Casa Blanca ,Vila Monteiro (Gleba I),Rua Rui Barbosa,Duplex,1030,,232.84,3,3,1,5,4574445,-22.01756,-47.88665,253,0,,684.28,180.81
S,Casas,Condomínio Parque Faber IV,Parque Faber Castell,Passeio das Magnólias,Condomínio,1060,240,302.5,4,4,4,7,1480001,-22.01265,-47.91967,298,0,,0,
S,Casas,,Jardim Medeiros,Rua Antônio Meneghelli,Padrão,18,143,194.75,3,1,2,3,350000,-22.03969,-47.91018,172,0,0,,
S,Terreno,,Jardim de Cresci,Rua Victorino Caron,Lote,0,,300,,,,,250000,-22.02997,-47.86326,138,0,0,,
S,Casas,,Jardim Dona Francisca,Rua Roberto Martinez,Padrão,117,100,,3,2,3,3,373000,-22.0317,-47.86453,67,0,0,,
S,Casas,,MARIA STELLA FAGA,Rua Benedito Carlos Pereira,Padrão,62,148,176,2,2,2,2,300000,-21.99788,-47.85624,210,0,0,,
S,Casas,,Jardim Ricetti,Rua Vicente D'Aquino,Sobrado,199,223.56,250,3,3,4,4,795000,-22.02908,-47.87831,134,0,0,,
S,Apartamentos,Spazio Mont Royal,Distrito Industrial Miguel Abdelnur,Avenida Doutor Heitor José Reali,Padrão,1031,,48,2,1,1,2,155000,-22.04005535,-47.87732363,159,0,,230,48
S,Casas,Condomínio Dona Eugênia ,Cidade Jardim,RUA BERNARDINO FERNANDES NUNES,Condomínio,1707,235,,3,2,2,4,790000,-21.9908902,-47.8924059,277,0,,0,
S,Apartamentos,Edifício Jairo Bianco,Chácara Parollo,RUA SÃO SEBASTIÃO,Garden,880,,118,3,1,2,4,899000,-22.01306,-47.87739,538,0,,0,100
S,Casas,,CENTRO,Rua José Bonifácio,Padrão,1178,120.92,139.56,3,1,,3,400000,-22.0184,-47.89358,99,0,0,,
S,Casas,,Centro,RUA MAJOR JOSÉ INÁCIO,Padrão,3352,150,250,3,4,2,6,978000,-22.01681,-47.87758,353,0,260,,
S,Terreno,,Jardim do Bosque,RUA ANTONIO NOVAES,Lote,177,,375.29,,,,,213000,,,63,0,0,,
S,Terreno,Condomínio Recanto do Sabiá ,Residencial Samambaia,Avenida Francisco Falvo,Condomínio,876,,260.6,,,,,200000,-21.95781293,-47.88708687,96,0,0,0,
S,Terreno,Condomínio Recanto do Sabiá ,Residencial Samambaia,Avenida Francisco Falvo,Condomínio,876,0,250,,,,,190000,-21.95781293,-47.88708687,88,0,0,0,
S,Casas,,VILA MONTEIRO,RUA ANTÔNIO RODRIGUES CAJADO,Padrão,2120,200,200,2,2,1,2,266000,-22.00882,-47.8839,1115,0,0,,
S,Terreno,,CENTRO,RUA AQUIDABAN,Comercial,658,,486,,,,,535000,-22.01835,-47.89458,145,0,,,
S,Casas,,Parque Fehr,RUA ESTHER DO AMARAL ZAITUNE,Padrão,244,162,275,3,3,5,5,639000,-21.97874,-47.93403,423,0,,,
S,Casas,,Vila Morumbi,Rua Icaraí,Padrão,228,140.56,330,3,2,,3,380001,-22.0409766,-47.8859187,97,0,0,,
S,Casas,,SÃO JOÃO BATISTA,RUA JOÃO ANTONIO BONI,Padrão,153,162.21,260,3,2,2,4,450000,,,116,0,0,,
S,Apartamentos,Residencial Next,Parque Arnold Schimidt,RUA MIGUEL ALVES MARGARIDO,Padrão,280,,35,1,1,,1,360000,-22.00312,-47.89495,444,0,75,250,35
S,Terreno,,Residencial Arcoville,Rua Doutor Valdir Santoro,Padrão,22,,240,,,,,150000,-21.961,-47.93228,130,0,0,,
S,Terreno,Condomínio Parque Residencial Damha IV,Parque Tecnológico Damha,RUA MIGUEL DAMHA,Padrão,1601,,397.6,,,,,422000,-21.9649,-47.89672,237,0,,420,
S,Terreno,Residencial Villeneuve,Jardim Jóckei Club A,Rua Ray Wesley Herrick,Condomínio,2816,,240,,,,,230000,-21.96235031,-47.90999293,122,0,0,259,
S,Casas,,Jardim Santa Tereza,Rua Coronel Leopoldo Prado,Padrão,831,183.75,350,3,2,1,4,600000,-22.0412512,-47.9062618,69,0,,,
S,Casas,Condomínio Santa Cruz,Residencial Monsenhor Romeu Tortorelli,Avenida João Stella,Condomínio,600,161.38,234.42,2,3,2,3,410000,-22.0047247,-47.9235488,215,0,0,93,
S,Casas,,Jardim Medeiros,Rua Antônio Meneghelli,Padrão,67,120,159,2,2,2,3,352000,-22.040106,-47.9103619,245,0,,,
S,Casas,,Vila Santa Madre Cabrini,Rua Pedro de Almeida,Área de Lazer,119,100,250,1,2,4,2,310000,-22.0508383,-47.8932124,137,0,0,,
S,Casas,,Vila Santa Madre Cabrini,Rua Pedro de Almeida,Padrão,121,180,125,3,3,2,5,420000,-22.0508361,-47.8932107,90,0,0,,
S,Casas,Condomínio Terra Nova,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,777,100,176.25,3,3,2,4,430000,-21.98484,-47.93834,717,0,0,0,
S,Casas,,Cidade Aracy,RUA FRANCISCO CEREDA,Padrão,415,110,,1,1,1,1,160000,-22.05766,-47.8973,49,0,,,
S,Apartamentos,Edifício Vitoria Regia ,Núcleo Residencial Silvio Vilari,Rua José Bonifácio,Padrão,1860,,175,3,3,1,4,830000,-22.02756,-47.89339,143,0,280,1200,175
S,Casas,,Vila Carmem,Rua Doutor Pedro Raimundo,Padrão,390,109,137.5,2,3,2,3,399937,-22.02869,-47.90925,98,0,0,,
S,Terreno,,Vila Izabel,RUA NUNCIO CARDINALLI,Comercial,330,,403,,,,,280000,-22.0358459,-47.8813939,125,0,,,
S,Terreno,,Vila Boa Vista 1,Rua Henrique Gregori,Padrão,136,,300,,,,,350000,-22.03561,-47.90115,83,0,,,
S,Casas,,Vila Monteiro (Gleba I),Rua Rui Barbosa,Padrão,789,137.71,179.46,3,2,1,3,450000,-21.9956566,-47.89156,99,0,,,
S,Rural,,Loteamento Aracê de Santo Antonio II,Av VICENTE MASSUCIO NETO,Chácara,44,,,2,2,,2,320000,,,157,0,0,,
S,Casas,,Jardim Tangará,Rua Pedro Monteleone,Padrão,86,120,250,2,2,2,2,280000,-22.00904,-47.85709,138,0,,,
S,Casas,,Jardim São Carlos 5,RUA LOENGRIN MARINO,Padrão,49,90.87,200,3,2,2,4,330000,-21.99474,-47.92529,125,0,0,,
S,Casas,,ROMEU TORTORELLI,RUA ANTONIO PASCHOAL,Padrão,1463,84.97,135,2,,2,2,299000,-22.00035,-47.91471,153,0,,,
S,Apartamentos,Edificio Via Campus,Jardim Macarengo,Rua Adolfo Catani,Padrão,433,,68,2,2,1,3,476000,-22.0066753,-47.8852969,130,0,0,0,68
S,Apartamentos,Edifício Rosa de Prata,Vila Monteiro (Gleba I),Rua São Joaquim,Padrão,1607,,,3,3,2,4,410000,-22.01208,-47.88894,204,0,100,0,120
S,Terreno,,Salto do Monjolinho,Rua 8,Padrão,,,280.89,,,,,170000,,,106,0,,,
S,Apartamentos,Edifício Vitoria Regia ,Núcleo Residencial Silvio Vilari,Rua José Bonifácio,Padrão,1860,,175,3,3,1,4,800001,-22.02756,-47.89339,165,0,281,1209,175
S,Apartamentos,Spazio Mont Royal,Distrito Industrial Miguel Abdelnur,Avenida Doutor Heitor José Reali,Padrão,1031,,48,2,1,1,2,155000,-22.04005535,-47.87732363,89,0,0,0,48
S,Casas,,Recreio dos Bandeirantes,Avenida Paulo de Arruda Correa da Silva,Padrão,70,175.7,250.37,3,2,2,4,730000,-22.0226543,-47.9119646,271,0,0,,
S,Apartamentos,Edifício Atlantis Residence,Parque Faber Castell,Passeio das Palmeiras,Padrão,425,,,3,2,2,4,860001,-22.01629,-47.91655,493,0,,0,87
S,Casas,,Jardim São Carlos,Rua Comendador Alfredo Maffei,Padrão,4641,195.3,267.39,3,1,4,4,470000,-22.01743,-47.89621,309,0,,,
S,Casas,Condomínio Terra Nova,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,777,47,145,3,1,2,3,298000,-21.98484,-47.93834,800,0,36,0,
S,Casas,,Centro,RUA SÃO SEBASTIÃO,Padrão,2590,164.64,243.65,3,2,3,4,695001,-22.01326,-47.88531,196,0,,,
S,Casas,Moradas São Carlos I,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,1455,85,100,2,1,2,2,250000,-21.98484,-47.93834,153,0,,125,
