indType,Property_category,District,Street_name,Property_subcategory,numNumber,Built_uparea,Area_total,Bedroom,Bathroom,Grages,totalRooms,valLocation,latitude,longitude,totalAccess,flgHighlight,prop_char_95,Property_tax
L,Apartamentos,Cidade Jardim,Alameda das Azaleias,Padrão,801,,50,2,1,1,2,1112,-21.99659,-47.89236,165,0,50,50
SL,Casas,Jardim Beatriz,Rua Batista Laura Ricetti,Padrão,824,178.35,255,3,2,2,4,1889,-22.0362,-47.9105918,222,0,,45
L,Comercial,Centro,AV. AVENIDA SÃO CARLOS,Sala,2205,,60,,2,,,1200,-22.01396,-47.89089,27,0,60,80
L,Comercial,Centro,AV. AVENIDA SÃO CARLOS,Sala,2205,,30,,1,,,600,-22.01396,-47.89089,52,0,30,40
L,Comercial,Centro,AV. AVENIDA SÃO CARLOS,Sala,2205,,30,,1,,,600,-22.01396,-47.89089,36,0,30,40
L,Casas,Azulville I,Rua Visconde da Cunha Bueno,Padrão,154,130,250,2,2,1,2,1445,-22.02782,-47.86806,64,0,,90
L,Comercial,Jardim Jóckei Club A,Rua Rio Amazonas,Galpão,289,,150,,2,,,3500,-21.9845,-47.89988,28,0,150,66
L,Apartamentos,Romeu Santini,Rua Doutor Eufrauzino Moreira,Padrão,32,,50,2,1,1,2,667,-22.02483,-47.91583,70,0,50,
L,Apartamentos,Jardim Lutfalla,RUA JACINTO FAVORETO,Padrão,405,,36,1,1,,1,1556,-22.00606,-47.89415,82,0,36,50
L,Apartamentos,Jardim Gibertoni,Rua Humberto Manelli,Padrão,116,,70,2,2,3,3,1600,-22.0189672,-47.9061769,138,0,70,88
L,Comercial,Centro,Rua Conde do Pinhal,Ponto,3237,,180,,2,7,,4000,-22.01761,-47.87858,87,0,180,217
L,Apartamentos,Centro,Rua Sete de Setembro,Padrão,1257,,30,1,1,,1,1112,-22.0160814,-47.89808112,110,0,30,25
SL,Apartamentos,Jardim Bethânia,RUA ALDO POZZI,Padrão,1129,,50,2,2,1,3,1500,-22.01511,-47.90075,60,0,50,50
L,Casas,Vila Irene,RUA NICODEMO SENAPESCHI,Padrão,141,100,120,2,2,2,2,1223,-22.03095,-47.88458,188,0,,46
L,Apartamentos,Romeu Santini,Rua Joaquim Ninelli,Padrão,11,,45,1,1,1,1,690,-22.02585,-47.91514,115,0,45,
SL,Comercial,Centro,RUA AQUIDABAN,Sala,217,,187,,3,,,3000,-22.02234,-47.89467,46,0,200,76
L,Apartamentos,Jardim Gibertoni,Rua Humberto Manelli,Cobertura,200,,77.72,2,2,1,4,2500,-22.0187394,-47.9062841,204,0,77.72,101
L,Apartamentos,Parque Faber Castell,Avenida dos Sanhaços,Padrão,901,,70,2,2,1,2,1250,-22.01498,-47.91203,206,0,70,
L,Comercial,Jardim São Carlos,Rua Treze de Maio,Galpão,1267,,1000,,2,,,10000,-22.01876,-47.89765,50,0,1000,
L,Comercial,Centro,RUA MARECHAL DEODORO,Sala,1980,,30,,1,,,2300,-22.0152,-47.89116,93,0,30,45
L,Apartamentos,Centro,RUA SETE DE SETEMBRO,Padrão,1458,,50,2,1,1,2,1334,-22.01617,-47.89634,392,0,50,
L,Apartamentos,Cidade Jardim,RUA BERNARDINO FERNANDES NUNES,Padrão,1317,,48,2,,1,2,1334,-21.9927093,-47.891874,167,0,48,
L,Casas,Jardim São Carlos,AV. COMENDADOR ALFREDO MAFFEI,Padrão,1470,150,150,3,2,1,3,2500,-22.01713,-47.89824,79,0,,65
L,Comercial,Jardim São Carlos,Rua Treze de Maio,Sala,2415,,250,,2,2,,1667,-22.01863,-47.88659,35,0,250,120
L,Terreno,Vila Izabel,Rua Santa Clotilde,Padrão,430,,440,,,,,2223,-22.0358,-47.88403,27,0,,
L,Casas,Parque Fehr,RUA ENNÊS BUENO,Condomínio,335,275,275,2,2,4,3,2334,-21.97821,-47.93537,296,0,,70
L,Casas,Jardim Cruzeiro do Sul,Rua Francisco Marigo,Padrão,731,200,308,3,2,,4,1667,-22.0408,-47.89011,139,0,,
SL,Comercial,Jardim Jóckei Club A,Rua Rio Araguaia,Galpão,607,,1100.8,,2,,,5000,-21.98119,-47.90082,51,0,624,376.5
L,Casas,Planalto Paraíso,Rua José Missali,Kitnet,1155,30,30,1,1,1,1,778,-22.00244,-47.91951,213,0,,35
L,Casas,Jardim Bandeirantes,Rua José Palone,Padrão,327,150,150,3,2,2,4,2112,-22.00039,-47.91037,271,0,,85
L,Apartamentos,Vila Rancho Velho,Rua Theodolina Modena Coca,Padrão,85,,50,2,1,1,2,850,-22.01084,-47.86918,190,0,50,52
L,Casas,CENTRO,Rua Quinze de Novembro,Padrão,2724,140,250,3,3,2,5,4112,-22.01235,-47.88403,91,0,,315.53
L,Casas,Vila Boa Vista,Rua Francisco de Oliveira Penteado,Fundos,865,50,100,2,1,1,2,834,-22.03008,-47.90276,354,0,,
L,Comercial,Jardim de Cresci,Avenida Mário Gaspar,Barracão,393,,396,,2,,,5556,-22.027938,-47.8599264,74,0,396,198
L,Comercial,Parque Tecnológico Damha,Alameda Sinlioku Tanaka,Barracão,202,,2505.27,,4,,,73780,-21.95674,-47.89112,19,0,3689.46,3182
SL,Comercial,CENTRO,RUA RIACHUELO,Salão,662,,360,,3,6,,7000,-22.01654,-47.89563,133,0,250,
L,Apartamentos,Parque Santa Mônica,Avenida Tancredo de Almeida Neves,Padrão,573,,80,3,2,2,4,1445,-22.0199,-47.91258,138,0,80,68
L,Apartamentos,CENTRO,RUA QUINZE DE NOVEMBRO,Padrão,1526,,78,3,3,2,4,2778,-22.01249,-47.89568,98,0,78,250
L,Casas,Cidade Jardim,Alameda dos Miosótis,Padrão,171,250,360,4,2,4,4,2778,-22.00161,-47.89387,78,0,,200
L,Casas,Jardim Brasil,RUA TOTÓ LEITE,Padrão,2770,100,150,3,1,2,3,1334,,,209,0,,59.32
L,Apartamentos,Jardim Paraíso,RUA CONSELHEIRO JOÃO ALFREDO,Padrão,213,,35,1,1,,1,1000,-22.00793,-47.9011,164,0,35,120
