indType,Property_category,District,Street_name,Property_subcategory,numNumber,Built_uparea,Area_total,Bedroom,Bathroom,Grages,totalRooms,valLocation,latitude,longitude,totalAccess,flgHighlight,prop_char_95,Property_tax
L,Casas,RESIDENCIAL ITAMARATI,Rua Augusto Maria Patrizzi,Padrão,150,185,250,3,1,2,3,2000,-22.00337,-47.85367,325,0,,142.44
SL,Casas,Cidade Jardim,RUA DOS CRAVOS,Comercial,80,250,360,3,3,3,5,6112,-21.99744,-47.89495,109,0,,192
L,Apartamentos,Parque Faber Castell,Avenida dos Sanhaços,Padrão,901,,50,2,1,1,2,1445,-22.01498,-47.91203,268,0,50,80
L,Casas,MARIA STELLA FAGA,Avenida João de Lourenço,Padrão,789,200,70,2,1,1,2,1445,-21.9998666,-47.8569049,148,0,,68
L,Apartamentos,Parque Faber Castell,Passeio das Palmeiras,Padrão,420,,79,3,2,2,4,3500,-22.01629,-47.91655,444,0,79,306.14
SL,Casas,Jardim Embaré,Rua Orlando de Oliveira,Padrão,90,200,200,3,3,2,4,3000,-21.97176,-47.93553,258,0,,130
L,Casas,Jardim Alvorada,Rua Luiz Barbosa de Campos,Sobrado,515,241,300,3,2,2,4,4667,-22.00734,-47.9064,139,0,,280
SL,Casas,Conjunto Habitacional Dom Constantino Amstalden,Rua Hend Cury,Padrão,173,150,150,3,2,2,4,1445,,,673,0,,
L,Apartamentos,Parque Faber Castell,Avenida dos Sanhaços,Padrão,901,,46,2,1,1,2,1056,-22.01498,-47.91203,349,0,46,
L,Comercial,CENTRO,AV. DOUTOR CARLOS BOTELHO,Sala,1291,,20,,1,,,1700,-22.01144,-47.8924,77,0,20,80
L,Comercial,CENTRO,AV. DOUTOR CARLOS BOTELHO,Sala,1291,,20,,1,,,1700,-22.01144,-47.8924,52,0,20,80
L,Apartamentos,Parque Faber Castell,Avenida dos Sanhaços,Padrão,901,,45,2,1,1,2,1330,-22.01498,-47.91203,271,0,45,80
L,Casas,Jardim Beatriz,Rua Francisco Schiavone,Fundos,4,40,60,1,1,,1,778,-22.03638,-47.90592,226,0,,
SL,Casas,Jardim Cruzeiro do Sul,Rua Francisco Marigo,Padrão,1549,133.21,368,2,2,2,3,1334,-22.04879,-47.88577,281,0,,83
SL,Casas,Parque Santa Mônica,Rua Madre Saint Bernard,Padrão,383,400,600,4,4,6,6,6000,-22.01323,-47.9027,171,0,,
L,Casas,CENTRO,Rua José Bonifácio,Padrão,1681,80,125,2,1,,2,2223,-22.01377,-47.89388,240,0,,109
SL,Rural,Broa,rua particular 16,Chácara,75,141,,3,1,,3,2223,,,105,0,,177
SL,Casas,Vila Boa Vista,Rua João Cristofaro dos Reis,Padrão,52,180,251.5,3,4,4,5,2000,-22.02546,-47.90478,249,0,,90
L,Apartamentos,Cidade Jardim,RUA BERNARDINO FERNANDES NUNES,Padrão,1317,,48,2,1,1,2,1445,-21.99825,-47.89152,34,0,48,
L,Apartamentos,Jardim Bandeirantes,Rua Miguel Petroni,Padrão,1455,,40,1,1,,1,1278,-22.00177,-47.90452,114,0,40,
L,Comercial,Loteamento Habitacional São Carlos 1,RUA DOUTOR PROCÓPIO TOLEDO MALTA,Salão,887,,86,,1,,,1334,-21.99418,-47.92027,62,0,86,50
L,Casas,Jardim Nova São Carlos,RUA JOSÉ MORASCHI,Padrão,347,80,150,2,1,1,2,1223,,,151,0,,80
L,Casas,Vila Monteiro (Gleba I),Rua São Joaquim,Padrão,1860,130,200,3,1,1,3,2223,-22.00992,-47.88879,144,0,,50
L,Casas,VILA MONTEIRO,Rua Rui Barbosa,Padrão,138,300,300,3,3,3,4,3334,-22.0259,-47.88648,87,0,,137
L,Comercial,CENTRO,RUA AQUIDABAN,Salão,859,,250,,2,1,,1667,-22.01654,-47.89484,183,0,180,60
L,Casas,Vila Prado,Avenida Teixeira de Barros,Sobrado,805,175,225,4,3,1,4,2667,-22.02832,-47.89673,58,0,,217
L,Casas,Vila Prado,Avenida Teixeira de Barros,Sobrado,805,150,200,4,3,1,4,1889,-22.026659,-47.8978497,113,0,,18
L,Comercial,Jardim Brasil,Rua Jesuíno de Arruda,Sala,2610,,25,,1,0,,1312,-22.01953,-47.87941,123,0,25,48
L,Apartamentos,Jardim Paraíso,Rua Princesa Isabel,Padrão,324,,65,2,2,1,3,2778,-22.01047,-47.90002,238,0,65,73
L,Casas,Cidade Jardim,Al DAS HORTÊNCIAS,Padrão,60,60,150,2,1,,2,1500,-22.00215,-47.89438,366,0,,71.65
L,Apartamentos,Jardim São Carlos,RUA JESUÍNO DE ARRUDA,Padrão,1968,,74,2,2,1,2,1500,-22.0198,-47.89186,239,0,74,97
L,Apartamentos,CENTRO,Avenida São Carlos,Padrão,2724,,98,3,2,1,3,2000,-22.00906,-47.89073,419,0,98,190
SL,Casas,Centreville,Rua Antônio Rodrigues Cajado,Padrão,1383,150,100,3,2,2,4,2000,-22.01641,-47.88394,187,0,,72
L,Apartamentos,Jardim Paraíso,RUA MAESTRO JOÃO SEPPE,Padrão,410,,150,4,2,2,5,2445,-22.01287,-47.90173,146,0,150,349
L,Casas,Jardim Nova São Carlos,Rua Orlando Marques,Padrão,200,150,100,2,2,2,3,3500,-22.03231,-47.87226,87,0,,81.17
L,Casas,Condomínio Residencial Quebec,Avenida Professora Maria de Cresci Leopoldino,Condomínio,755,181,300,3,2,2,4,5112,,,184,0,,176.71
L,Casas,Jardim Paraíso,RUA ALICE J. DANNA JULIANA,Comercial,44,,300,,3,10,,5556,-22.00591,-47.90103,65,0,,340
SL,Casas,Centreville,Rua Antônio Rodrigues Cajado,Padrão,1373,150,100,3,2,2,4,2000,-22.01652,-47.88394,172,0,,72
SL,Apartamentos,Recreio São Judas Tadeu,Avenida Gregório Aversa,Padrão,371,,55,2,1,1,2,1223,-22.03312,-47.86755,124,0,55,44
L,Comercial,Vila Costa do Sol,RUA ANTÔNIO BLANCO,Sala,138,,179,0,2,0,0,4223,-22.0023708,-47.8897297,50,0,179,70
SL,Casas,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,1455,,100,2,1,2,2,1223,-21.98484,-47.93834,274,0,,22
L,Apartamentos,Jardim Gibertoni,RUA CORONEL CARLOS SIMPLICIO RODRIGUES,Padrão,136,,51,2,1,1,2,1334,-22.01849,-47.90788,516,0,51,50
L,Casas,SÃO JOÃO BATISTA,Rua Rafael de Senzi,Padrão,26,120,125,2,1,1,2,1667,-22.00537,-47.87892,264,0,,46
L,Casas,Portal do Sol,Rua Doutor Omar Pacheco Souza,Padrão,293,120,150,3,2,2,4,2000,-22.02466,-47.8724,691,0,,95
L,Apartamentos,Vila Prado,Avenida José Pereira Lopes,Padrão,333,,55,2,2,2,3,1300,-22.0222689,-47.9026411,393,0,55,80
SL,Comercial,Jardim Cruzeiro do Sul,Rua Francisco Marigo,Galpão,841,,308,,3,9,,2612,-22.04251,-47.88915,103,0,181.72,
SL,Apartamentos,Recreio São Judas Tadeu,AV. GETÚLIO VARGAS,Padrão,2475,,47,2,1,1,2,889,-22.0350361,-47.8680662,429,0,47,48
SL,Comercial,CENTRO,Avenida São Carlos,Ponto,1590,,88,,2,,,2800,-22.01935,-47.89051,77,0,88,
L,Apartamentos,Jardim Lutfalla,Rua Cézar Ricomi,Padrão,217,,44,2,2,,3,1389,-22.0049351,-47.8915192,492,0,44,
L,Apartamentos,Parque Faber Castell,Avenida dos Sanhaços,Padrão,901,,55,2,1,1,2,1112,-22.01498,-47.91203,790,0,55,30
L,Comercial,Jardim Ipanema,Avenida Romualdo Villani,Salão,458,,36,,1,,,1223,-21.98834,-47.92968,131,0,36,
L,Comercial,Parque Faber Castell,Passeio das Castanheiras,Sala,431,,45,0,1,1,0,1556,,,107,0,45,100
L,Apartamentos,Vila Monteiro (Gleba I),Rua Belarmino Indalécio de Souza,Padrão,255,,66,3,2,1,4,1223,-22.02418,-47.88808,262,0,66,43
L,Apartamentos,Vila Prado,Avenida José Pereira Lopes,Padrão,333,,55,2,2,1,3,1617,-22.0222689,-47.9026411,403,0,55,80
SL,Comercial,CENTRO,Rua Nove de Julho,Salão,982,,80,,1,,,3889,-22.0212,-47.89248,98,0,80,100
L,Apartamentos,Jardim Alvorada,Rua Doutor Domingos Faro,Padrão,102,,70,2,1,1,2,1334,-22.00966,-47.90838,491,0,70,75
L,Apartamentos,Centro,Rua Padre Teixeira,Padrão,1370,,,2,2,1,3,1690,-22.01428,-47.89704,339,0,60,60
L,Comercial,Vila Brasília,Rua Chile,Salão,275,,120,,2,,,3334,-21.9965923,-47.8819871,56,0,100,50
L,Comercial,CENTRO,RUA MAJOR JÚLIO SALLES,Sala,593,,200,,2,3,,2223,,,142,0,,107
L,Comercial,CENTRO,RUA MAJOR JOSÉ INÁCIO,Salão,1619,,230,,2,2,,3000,-22.01685,-47.89463,127,0,230,71
SL,Apartamentos,Parque Fehr,Servidão de Passagem João Deriggi,Padrão,181,,50,2,1,1,2,1445,,,162,0,50,45
SL,Apartamentos,Parque Faber Castell,Passeio das Palmeiras,Padrão,420,,79,2,2,2,3,5000,,,326,0,79,220
L,Comercial,Jardim Paraíso,RUA DONA MARIA JACINTA,Sala,224,,15.91,,1,,,1112,-22.0085851,-47.9004333,136,0,15.91,
L,Apartamentos,Jardim Jóckei Club A,Rua Ray Wesley Herrick,Padrão,135,,70,3,1,,3,1112,-21.98595,-47.89465,391,0,70,38.7
L,Casas,Parque Industrial,Rua Doutor Alberto Cattani,Padrão,100,120,100,1,1,1,1,778,-21.98916,-47.90292,216,0,,34
L,Casas,Cidade Jardim,Alameda das Azaleias,Kitnet,150,30,30,1,1,0,1,723,-22.00204,-47.89285,341,0,,0
SL,Casas,Jardim Bicão,Rua Manoel Dias,Padrão,201,140,200,3,2,1,3,2000,-22.0287,-47.91169,515,0,,141
L,Casas,MARIA STELLA FAGA,RUA JOÃO BATISTA CARRI,Padrão,37,80,150,2,1,2,2,1112,-21.99866,-47.85648,380,0,,20
SL,Apartamentos,Distrito Industrial Miguel Abdelnur,Av. DR. HEITOR JOSE REALI,Padrão,1031,,48.2,2,1,1,2,1112,,,180,0,48.2,40
SL,Comercial,CEAT,RUA ALDO GEMANO KLEIN,Galpão,202,,2700,,3,,,38889,-22.0687956,-47.8799641,88,0,1000,1400
L,Comercial,Jardim Brasil,RUA MONTEIRO LOBATO,Galpão,1601,,230,,2,,,3500,-22.01712,-47.87709,116,0,230,230
L,Comercial,Jardim Macarengo,Rua Campos Salles,Sala,918,,20,,1,0,,889,-22.01917,-47.88464,98,0,20,
L,Comercial,Jardim Ricetti,RUA MAJOR MANOEL ANTÔNIO DE MATTOS,Barracão,1186,,153,,2,4,,5000,-22.0183788,-47.8810169,104,0,153,100
SL,Comercial,CENTRO,Rua José Bonifácio,Prédio,849,,1820,,6,30,,30000,-22.02128,-47.89373,87,0,920,
L,Comercial,JARDIM REAL,Rua Pascoal Mecca,Salão,105,,54,,2,,,1223,-22.0027514,-47.8728092,215,0,54,
SL,Casas,Vila Boa Vista 1,Rua Capitão Manoel Alves Carneiro,Padrão,855,142,142,2,2,2,3,1112,-22.0363386,-47.902523,241,0,,
L,Comercial,Vila Prado,Rua Cidade de Milão,Barracão,434,,360,,2,,,2223,-22.0318952,-47.8964137,198,0,360,60
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Loja,127,,80,,2,,,3800,-22.0009875,-47.9130205,129,0,80,
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Loja,127,,80,,2,,,3800,-22.0009875,-47.9130205,128,0,80,
SL,Apartamentos,Jardim Santa Paula,Rua José Duarte de Souza,Padrão,372,,52,1,1,,1,1500,-21.998228,-47.9004658,244,0,40,28
L,Comercial,Vila Boa Vista 1,Rua Henrique Gregori,Salão,446,,150,,4,0,,2226,-22.03561,-47.90115,56,0,150,100
SL,Casas,Jardim Mercedes,RUA ALFEO AMBROGIO,Padrão,770,450,450,3,3,4,4,3334,-22.02981,-47.88231,123,0,,150
L,Casas,Vila Prado,Rua Desembargador Júlio Faria,Padrão,696,350,700,3,4,7,5,6667,-22.03188,-47.90049,123,0,,580
SL,Casas,Cidade Jardim,Al DOS NARCISOS,Padrão,97,125,180,2,2,2,2,1800,-21.99725,-47.89371,385,0,,137
L,Comercial,CENTRO,RUA MARECHAL DEODORO,Sala,2452,,110,,2,,,3500,-22.01509,-47.88664,66,0,110,
SL,Casas,Centro,RUA RIACHUELO,Padrão,795,108.64,133.7,2,2,1,2,1800,-22.01538,-47.89586,421,0,,67
L,Casas,Vila São José,RUA JOÃO SEBA VASSELIADES,Padrão,60,60,120,1,1,,1,889,-22.00731,-47.87412,138,0,,
L,Comercial,CENTRO,RUA SETE DE SETEMBRO,Sala,3512,,234.82,,3,4,,3000,-22.01587,-47.87624,156,0,163.94,
SL,Comercial,Vila Brasília,RUA LUIZ LÁZARO ZAMENHOF,Barracão,670,,4735.1,,2,,,25000,-22.0017748,-47.8703423,124,0,809,
L,Casas,Jardim Santa Paula,Rua Virgílio Pozzi,Padrão,42,200,300,3,2,2,4,4445,-22.00186,-47.90332,116,0,,315.47
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Salão,127,,80,,2,2,,3889,-22.0009875,-47.9130205,45,0,80,
SL,Casas,Parque Faber Castell,OUT DOS CURIÓS,Condomínio,172,350,350,5,5,4,9,6112,,,362,0,,250
L,Casas,Cidade Jardim,Alameda das Papoulas,Padrão,59,180,360,3,2,2,4,2334,-22.00206,-47.89534,306,0,,120
SL,Apartamentos,Cidade Jardim,RUA BERNARDINO FERNANDES NUNES,Padrão,1317,,50,2,1,1,2,1500,-21.99825,-47.89152,183,0,50,
L,Apartamentos,Cidade Jardim,RUA BERNARDINO FERNANDES NUNES,Padrão,1317,,50,2,1,1,2,1500,-21.99825,-47.89152,88,0,50,
L,Comercial,Cidade Aracy,Avenida José Antônio Migliato,Galpão,724,,300,,2,,,3334,-22.0600827,-47.8927347,68,0,170,40
L,Comercial,Cidade Aracy,Avenida José Antônio Migliato,Galpão,724,,300,,2,,,3334,-22.056599,-47.8951204,38,0,170,40
L,Comercial,Cidade Aracy,Avenida José Antônio Migliato,Galpão,724,,300,,2,,,3334,-22.056599,-47.8951204,40,0,175,40
L,Comercial,Cidade Aracy,Avenida José Antônio Migliato,Galpão,724,,300,,2,,,3334,-22.056599,-47.8951204,37,0,175,40
L,Casas,Vila Brasília,Rua Chile,Padrão,132,185,335,3,3,4,5,3500,-21.99715,-47.88168,119,0,,0
L,Comercial,Parque Faber Castell,Passeio das Castanheiras,Sala,431,,44,,1,1,,1334,,,60,0,44,109.74
L,Casas,JOCKEY CLUBE,RUA RIO GRANDE,Kitnet,570,35,35,1,1,0,1,756,-21.98319,-47.89583,147,0,,0
L,Comercial,Jardim Centenário,RUA JORGE TIBIRIÇÁ,Barracão,282,,170,,2,,,1445,-21.99824,-47.90527,118,0,170,50
L,Apartamentos,Jardim Embaré,Rua Ray Wesley Herrick,Padrão,5441,,50,2,1,1,2,1112,-21.9751112,-47.9332665,147,0,50,50
L,Comercial,CENTRO,RUA QUINZE DE NOVEMBRO,Sala,1789,,150,,1,,,3500,-22.01224,-47.89314,233,0,150,104.66
L,Industrial,CEAT,Rua Giácomo Nutti,Galpão,680,,5400,,5,,,28889,-22.0748538,-47.8844492,199,0,1750,1955.45
L,Casas,VILA MONTEIRO,Rua São Paulo,Padrão,903,120,120,2,1,2,2,1334,-22.01903,-47.88582,447,0,,60
L,Casas,Jardim Cruzeiro do Sul,RUA GUADALAJARA,Padrão,10,100,100,1,1,1,1,1112,-22.03929,-47.88794,183,0,,40
SL,Casas,Cidade Jardim,Al DAS CRISANDÁLIAS,Padrão,635,243.09,360,3,2,2,4,3334,-22.00271,-47.894,196,0,,140
L,Comercial,CENTRO,AV. DOUTOR CARLOS BOTELHO,Prédio,2140,,1756.7,0,4,60,0,25000,-22.01144,-47.8924,55,0,,
SL,Comercial,CENTRO,Rua Major José Inácio,Salão,2490,,400,0,4,4,0,6445,-22.01694,-47.8862,226,0,400,150
L,Comercial,Parque Novo Mundo,Rua Vanderlei Quelé de Lima,Galpão,67,,600,,3,,,12223,-22.06466,-47.88702,37,0,600,89
L,Comercial,Centreville,RUA JOSÉ RODRIGUES SAMPAIO,Sala,361,,100,,2,,,1778,-22.02504,-47.8861,192,0,100,50
SL,Apartamentos,Jardim Paraíso,RUA PROF. NICOLETA STELLA GERMANO,Padrão,60,,70,2,2,1,3,1560,-22.00538,-47.90096,301,0,70,159
L,Comercial,VILA MONTEIRO,Rua Oswaldo Cruz,Sala,48,,40,,1,,,1000,-22.0256,-47.89013,101,0,40,
L,Apartamentos,CENTRO,Rua Vinte e Oito de Setembro,Cobertura,2350,,130,3,2,,4,3500,-22.01053,-47.88775,260,0,130,280
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Sala,127,,80,,2,,,3889,-22.0009875,-47.9130205,51,0,80,
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Sala,127,,80,,2,,,3889,-22.0009875,-47.9130205,42,0,80,
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Sala,127,,80,,2,,,3889,-22.0009875,-47.9130205,44,0,80,
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Sala,127,,80,,2,,,3889,-22.0009875,-47.9130205,41,0,80,
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Sala,127,,80,,2,,,3889,-22.0009875,-47.9130205,60,0,80,
L,Casas,Loteamento Habitacional São Carlos 1,RUA DOUTOR PROCÓPIO TOLEDO MALTA,Padrão,875,39,39,1,1,,1,889,-21.9943,-47.92006,119,0,,50
L,Comercial,SANTA FELICIA,Rua Affonso Botelho de Abreu Sampaio,Salão,1009,,80,,1,,,2000,-21.99831,-47.91406,98,0,80,0
L,Comercial,Vila Costa do Sol,Rua Campos Sales,Salão,2761,,60,,1,,,1000,-22.00192,-47.88519,130,0,60,
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Sala,127,,80,,2,,,3889,-22.0009875,-47.9130205,48,0,80,
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Sala,127,,80,,2,,,3889,-22.0009875,-47.9130205,45,0,80,
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Sala,127,,80,,2,,,3889,-22.0009875,-47.9130205,57,0,80,
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Sala,127,,80,,2,,,3889,-22.0009875,-47.9130205,46,0,80,
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Sala,127,,80,,2,,,3889,-22.0009875,-47.9130205,47,0,80,
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Sala,127,,80,,2,,,3889,-22.0009875,-47.9130205,59,0,80,
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Sala,127,,80,,2,,,3889,-22.0009875,-47.9130205,40,0,80,
L,Casas,Vila Boa Vista,Rua Benjamin Constant,Padrão,378,230,250,3,1,2,3,1000,-22.02795,-47.90369,462,0,,90
L,Apartamentos,Jardim Bethânia,Rua Victor Manuel de Souza Lima,Padrão,297,,110,3,2,1,3,1560,-22.01396,-47.89963,517,0,110,156.5
SL,Apartamentos,Jardim Brasil,Rua Eugênio Franco de Camargo,Padrão,1200,,49,2,2,1,3,2300,-22.02108,-47.87804,566,0,49,42
L,Comercial,Parque Industrial,RUA ERNESTINO BLOCK,Galpão,320,,300,,2,,,3889,-21.9875,-47.90069,88,0,220,210
L,Comercial,Jardim Hikari,AV. ÍTALO PAINO,Galpão,620,,300,,1,,,3889,,,111,0,300,245
L,Casas,Centreville,Rua Santa Cruz,Padrão,979,150,250,3,2,2,3,3334,-22.02319,-47.88525,83,0,,315
SL,Casas,Vila São José,Rua Hipólito José da Costa,Padrão,561,159.44,250,3,1,3,3,1780,-22.0022817,-47.8746373,274,0,,75
L,Terreno,Parque Faber Castell,OUT DAS QUARESMEIRAS,Comercial,0,,1300,,,,,10000,,,51,0,,715.37
L,Casas,Vila Costa do Sol,Rua José de Alencar,Sobrado,656,160,250,3,2,1,3,1600,-22.00314,-47.8858,597,0,,57
L,Comercial,Cidade Aracy,Rua Maria das Graças Tagliatella Custódio,Barracão,141,,250,,2,,,2778,-22.062,-47.89472,61,0,220,
L,Casas,Centreville,Rua Santa Cruz,Padrão,884,80,125,2,1,1,2,1223,-22.02336,-47.88608,420,0,,60
L,Casas,Jardim São Carlos,Rua Geminiano Costa,Padrão,1273,70,150,2,1,,2,1350,-22.02042,-47.88482,409,0,,
SL,Terreno,Centro,Rua José Bonifácio,Comercial,959,,800,,,,,3334,-22.02033,-47.89383,137,0,,600
L,Apartamentos,Vila Brasília,Rua Peru,Padrão,144,,40,2,1,,2,900,-21.9982505,-47.8788621,418,0,40,114.94
L,Comercial,Jardim São Carlos,AV. COMENDADOR ALFREDO MAFFEI,Galpão,959,,300,,1,,,3334,-22.01709,-47.89791,68,0,150,110
SL,Casas,Jardim São João Batista,Rua Durvalino Gonçalves da Silva,Padrão,25,130,250,2,2,2,3,1889,-21.99954,-47.87646,443,0,,80
L,Apartamentos,Romeu Santini,Rua Doutor Eufrauzino Moreira,Padrão,35,,50,2,1,1,2,778,-22.02403,-47.91534,210,0,50,21
L,Casas,CENTRO,RUA AQUIDABAN,Padrão,450,296.5,311.5,4,3,2,5,2778,-22.02045,-47.89458,234,0,,320
L,Casas,Vila Costa do Sol,Rua Professor Mozart de Santos Mello,Padrão,309,60,80,2,1,1,2,1667,-21.99977,-47.88246,564,0,,25
L,Comercial,Jardim São Carlos,Rua Geminiano Costa,Sala,241,,176,,2,,,2224,-22.02067,-47.89507,91,0,176,
L,Casas,Vila Boa Vista 1,Rua Natalino Mastro Francisco,Padrão,1569,80,125,2,1,2,2,1112,-22.03701,-47.90223,708,0,,50
L,Comercial,Jardim São Carlos,Rua Geminiano Costa,Sala,243,,88,,1,,,1112,-22.02066,-47.89502,93,0,88,
SL,Casas,Jardim Paulistano,Rua Paulo Elias,Padrão,203,130,250,3,1,2,3,2445,-21.99509,-47.89963,477,0,,137.98
L,Comercial,SANTA FELICIA,AV. BRUNO RUGGIERO FILHO,Sala,1263,,36,,1,,,700,-22.00123,-47.91924,141,0,36,32
L,Comercial,SANTA FELICIA,AV. BRUNO RUGGIERO FILHO,Sala,1263,,35,,1,0,,900,-22.00123,-47.91924,77,0,35,39
L,Casas,Jardim Santa Paula,Rua Rosalino Bellini,Padrão,417,210,300,3,2,2,4,3334,-21.99843,-47.90243,161,0,,158
SL,Apartamentos,Vila Prado,Rua Doutor Duarte Nunes,Padrão,330,,63,2,2,1,3,1667,-22.0246805,-47.9022868,320,0,63,
L,Apartamentos,Vila Prado,Rua Doutor Duarte Nunes,Padrão,330,,56.48,2,2,1,3,1283,-22.0246805,-47.9022868,178,0,56.48,25
L,Apartamentos,Vila Prado,Rua Doutor Duarte Nunes,Padrão,330,,56.48,2,2,1,3,1283,-22.0246805,-47.9022868,82,0,56.48,25
L,Apartamentos,Vila Prado,Rua Doutor Duarte Nunes,Padrão,330,,56.48,2,2,1,3,1283,-22.0246805,-47.9022868,83,0,56.48,25
L,Apartamentos,Vila Prado,Rua Doutor Duarte Nunes,Padrão,330,,72.23,3,2,2,4,1747,-22.0246805,-47.9022868,223,0,72.23,25
L,Apartamentos,Vila Prado,Rua Doutor Duarte Nunes,Padrão,330,,63.84,2,2,1,3,1445,-22.0246805,-47.9022868,78,0,63.84,25
L,Apartamentos,Vila Prado,Rua Doutor Duarte Nunes,Padrão,330,,61.56,2,2,1,3,1395,-22.0246805,-47.9022868,57,0,,25
L,Apartamentos,Vila Prado,Rua Doutor Duarte Nunes,Padrão,330,,63.84,2,2,1,3,1445,-22.0246805,-47.9022868,45,0,63.84,25
L,Apartamentos,Vila Prado,Rua Doutor Duarte Nunes,Padrão,330,,61.56,2,2,1,3,1395,-22.0246805,-47.9022868,61,0,61.56,25
L,Apartamentos,Vila Prado,Rua Doutor Duarte Nunes,Padrão,330,,61.56,2,2,1,3,1395,-22.0246805,-47.9022868,39,0,61.56,25
L,Apartamentos,Vila Prado,Rua Doutor Duarte Nunes,Padrão,330,,61.56,2,2,1,3,1395,-22.0246805,-47.9022868,42,0,61.56,25
L,Apartamentos,Vila Prado,Rua Doutor Duarte Nunes,Padrão,330,,61.56,2,2,1,3,1395,-22.0246805,-47.9022868,55,0,61.56,25
L,Apartamentos,Vila Prado,Rua Doutor Duarte Nunes,Padrão,330,,61.56,2,2,1,3,1395,-22.0246805,-47.9022868,47,0,61.56,25
L,Comercial,Vila Morumbi,Avenida Morumbi,Galpão,840,,504,,3,4,,7223,-22.04265,-47.88608,162,0,504,114
L,Comercial,Núcleo Residencial Silvio Vilari,Rua Vivaldo Lanzoni,Sala,160,,35,,2,,,889,-22.0271,-47.89237,97,0,21.19,
L,Comercial,Núcleo Residencial Silvio Vilari,Rua Vivaldo Lanzoni,Sala,160,,35,,2,,,889,-22.0271,-47.89237,48,0,18.6,
L,Comercial,Núcleo Residencial Silvio Vilari,Rua Vivaldo Lanzoni,Sala,160,,25,,2,,,778,-22.0271,-47.89237,76,0,11.9,
L,Comercial,Núcleo Residencial Silvio Vilari,Rua Vivaldo Lanzoni,Sala,160,,70,,2,,,2556,-22.0271,-47.89237,92,0,70,
L,Comercial,Cidade Aracy,Rua Francisco Alberto Micelli,Loja,202,,30,0,1,,0,834,-22.05942,-47.89616,91,0,30,0
SL,Apartamentos,Parque Faber Castell,Passeio das Palmeiras,Duplex,55,,133.47,4,4,2,8,4445,-22.01629,-47.91655,298,0,133.47,819
L,Comercial,Vila Brasília,Rua Costa Rica,Salão,275,,90,,1,,,2223,-21.9944694,-47.8808458,70,0,90,120
SL,Apartamentos,Centro,RUA VINTE E OITO DE SETEMBRO,Padrão,2293,,169,3,2,2,4,3167,-22.01035,-47.88839,519,1,129,314.23
SL,Comercial,Vila Carmem,RUA DOUTOR JOÃO DE OLIVEIRA,Barracão,993,,320,,2,,,3500,-22.02804,-47.90807,196,0,320,
SL,Casas,Residencial Eldorado,Rua Miguel Petroni,Condomínio,4900,312,280,3,2,2,4,4778,-21.98957,-47.92169,355,0,,250
L,Apartamentos,Recreio São Judas Tadeu,AV. GREGÓRIO AVERSA,Padrão,325,,48.36,2,1,1,2,723,-22.03305,-47.86829,133,0,48.36,18
L,Comercial,BOA VISTA,Avenida Theodureto de Camargo,Loja,311,,40,,1,0,,1178,-22.03561,-47.90115,139,0,40,0
L,Comercial,SANTA FELICIA,Rua Alberto Lanzoni,Loja,465,,20,0,1,0,0,812,-22.00169,-47.91316,200,0,20,17
L,Comercial,Jardim Lutfalla,Rua Cézar Ricomi,Salão,729,,250,,2,2,,8334,-22.00494,-47.88876,119,0,217,130
L,Casas,Jardim Ipanema,AV. OTTO WERNER ROSEL,Condomínio,1455,,80,2,1,1,2,1000,-21.98484,-47.93834,1054,0,,50
L,Comercial,Centro,Avenida São Carlos,Salão,1390,,1200,,4,,,55000,-22.02108,-47.8905,113,0,1200,
L,Comercial,Vila Prado,AV. SALLUM,Sala,1607,,200,,3,,,2800,-22.0346566,-47.8950356,78,0,200,200
L,Apartamentos,Distrito Industrial Miguel Abdelnur,Av. DR. HEITOR JOSE REALI,Padrão,1426,,45,2,1,1,2,800,-22.04047,-47.87738,420,0,45,42.46
L,Apartamentos,Parque Faber Castell,Passeio das Palmeiras,Padrão,420,,79,2,2,2,3,3556,,,263,0,79,150
SL,Apartamentos,Parque Fehr,Servidão de Passagem João Deriggi,Padrão,181,,48,2,1,1,2,778,-21.97879214,-47.93982983,576,0,48,48
L,Apartamentos,Parque Arnold Schimidt,Rua Alvarenga Peixoto,Padrão,290,,50,2,1,1,2,1334,,,736,0,50,75
